O $a$ ,O $b$ ,O $c$ ,O O ,O Al ,O Ca ,O K ,O Mg ,O S ,O Si ,O Th ,O U ,Fe AlO1.5 ,Fe CaO ,Fe KO0.5 ,Fe MgO ,Fe Ssil ,Fe SiO2 ,Fe ThO2 ,Fe UO ,Al $a$ ,Al $b$ ,Al $c$ ,Al Al ,Al S ,Al Si ,Al CaO ,Al SiO2 ,Ca $a$ ,Ca $b$ ,Ca $c$ ,Ca Ca ,Ca S ,Ca Si ,Ca KO0.5 ,Ca MgO ,Ca Ssil ,Ca SiO2 ,Ca ThO2 ,Ca UO ,K $a$ ,K $b$ ,K $c$ ,K K ,K S ,K Si ,K SiO2 ,Mg $a$ ,Mg $b$ ,Mg $c$ ,Mg Mg ,Mg S ,Mg Si ,Mg SiO2 ,S $a$ ,S $b$ ,S $c$ ,S S ,S Si ,S Th ,S U ,S SiO2 ,Si $a$ ,Si $b$ ,Si $c$ ,Si Si ,Si Th ,Si U ,Si ThO2 ,Si UO ,Th $a$ ,Th $b$ ,Th $c$ ,Th Th ,U $a$ ,U $b$ ,U $c$ ,U U
1.000000000000000222e+00,-7.686195859445476009e-01,-7.373537644356931153e-01,1.244859847093175292e-01,1.129722813366837268e-02,-3.743514721632972865e-03,2.590180774211842812e-02,-7.930180149727750205e-02,3.323641313517227136e-01,6.077289764936183447e-02,-2.411793371036074010e-02,1.107239195086138009e-02,7.504420098625476376e-02,4.496528185609677264e-02,-7.016789789356843617e-03,-1.070432988491739346e-01,7.226641899645876166e-02,1.271955209601889347e-01,-3.941141523431021185e-03,-5.662757349245461577e-03,-4.349551804419471424e-02,3.002570881447602646e-02,2.242210210141825158e-02,-5.661393975727432165e-02,-3.389597171767277234e-02,-1.377350824213360511e-02,2.211595660872265560e-03,1.166600118941697913e-02,-4.271775391157360546e-02,-2.996170869782954771e-02,2.828801197129349881e-02,-2.230898237696434319e-02,-1.710025492767296845e-02,7.651611544318523417e-03,2.881807654706119645e-02,3.170307811036054968e-02,3.068850358935268363e-02,4.101788218910541045e-02,7.384090975502723142e-02,6.437671749702256196e-02,-3.822134150141728165e-02,5.337993622019535783e-02,4.059535933463920276e-02,-6.791661143778381614e-03,7.859345704603858118e-03,6.433401080527358269e-03,-4.539679611437288931e-02,-3.022154732532358196e-02,5.762090144482013426e-02,2.164491727582270805e-02,3.559994325600338710e-02,-1.726263680159393910e-01,-2.977320785905368528e-02,-1.293965218904037096e-01,-6.292094284652953451e-02,3.566965730787217265e-02,1.617501970738147998e-01,-9.321283675220930209e-02,-4.379267826485321730e-02,2.058833022072494370e-02,-1.257699137628312189e-02,-5.983949026984671654e-02,-5.360676158872030445e-02,1.344568672115334651e-01,1.200741254904628789e-02,-4.566497206028441447e-02,-6.089019105663899534e-02,-4.615032607061215347e-02,-2.714810090536950299e-02,2.229227357473668666e-02,-3.224872822004918455e-02,3.945390450127805176e-02,2.427838544550270372e-02,3.097528744114992627e-02,-5.194200963599196474e-02,2.358283393729388583e-02,4.328125913938522112e-02,-2.455515633051761834e-02
-7.686195859445593692e-01,1.000000000000000222e+00,4.908132589429287651e-01,1.636911861961657180e-02,-1.688268783337583956e-01,-5.011699377807051631e-02,-6.186760163170865190e-02,-5.122495655941677190e-02,-2.381126421515274150e-01,-1.971442004656792923e-01,2.077113398767642047e-02,-3.424960601787453707e-02,-2.580771901354577680e-01,-8.398992674838486050e-02,-2.320494934690605360e-01,-3.268102198563170302e-01,-4.315667445925523427e-01,-6.287352251049223018e-01,5.679039344421149549e-02,9.209142237071066576e-04,-2.887045695919048059e-03,-1.263559721307088712e-01,-7.766689598844900982e-03,5.499146547618106312e-02,6.163820772177513313e-02,1.327525132594762902e-01,3.851445449852694373e-03,-5.532308719572995998e-02,3.911078098945159481e-02,3.468591030572192729e-02,-5.431665431755030443e-02,4.269592014405750903e-03,5.216586537040388688e-02,3.198246660289666421e-02,-5.355213168717591621e-02,-5.457648882159081560e-02,-3.628674592775248120e-02,-5.413095354623548294e-02,-5.343410281510035942e-02,-5.235639236933229551e-02,5.136713842483516326e-03,-1.403900821401389831e-01,3.586862623631378432e-03,2.995797578041289877e-02,-8.133168354483907153e-03,6.080656276989804265e-02,-5.315153470665759383e-03,7.714346703933858650e-03,-8.751613846971908290e-04,-2.359432297489675104e-02,2.534956730249258300e-02,1.388465683068750289e-01,6.569582163571881239e-02,-4.236689164502054766e-02,1.803715118078241114e-02,-1.266345468746834547e-02,-6.100666634262548460e-02,5.460374796741471193e-02,3.237366745523361650e-02,1.672758707988756741e-02,-2.199525913025495230e-02,-2.390101712178339249e-02,1.941346029021409347e-01,-6.208664980769823538e-01,1.019309316650432867e-01,1.755409919073017966e-01,9.135246707421343371e-02,5.727057301838067022e-02,3.889757330932727686e-02,-7.330462163849825463e-03,3.247455509653594113e-02,-1.240374050579887977e-01,-2.428962947382550669e-02,-3.362974847722835503e-02,4.335270418309378031e-03,-1.440760285396060769e-01,-1.040095592403395171e-02,2.188435733251397480e-02
-7.373537644356945586e-01,4.908132589429248238e-01,1.000000000000000000e+00,4.392772571809981930e-01,-4.533608972651529539e-02,7.091633717005899930e-03,-1.304910616810178378e-02,-2.432656384467916100e-01,-2.352067731319344990e-01,-9.542888320122691614e-02,4.489154702486660505e-04,-8.472443915305424844e-03,-1.220934449805233524e-01,3.367692774063253420e-03,6.907120178347193884e-02,4.727955956235518897e-02,-2.727029536491300948e-02,-4.516659338950191477e-02,1.349914326126611629e-02,2.269433271400143198e-02,2.566772902742831680e-02,9.934373087378187833e-03,-4.490348578588629347e-02,5.421619137542516703e-02,4.281992213591322843e-02,1.146455174825768489e-02,4.180602841899685312e-02,-6.417648363939355838e-02,1.324852133454055073e-02,-8.182610306823922056e-03,-4.674491690729844912e-02,1.144357906700592398e-02,-2.137858131720498517e-03,-2.324042868732579745e-02,1.160225668913011932e-02,1.388084508862273345e-02,9.585038699283808528e-03,-1.064653290487413894e-03,-2.121877961407594992e-02,-1.416652892346965259e-02,1.931569837950672386e-02,-5.033759313933471730e-02,-3.542503938859235119e-02,6.447638596557296511e-04,-2.761262365842012938e-03,-4.444898524786252553e-02,5.840665380803736900e-02,2.222880885312467428e-02,-3.649282519452758111e-02,-2.876208447550334876e-02,1.952858252633974095e-03,1.329823117175903679e-01,3.236538888265508979e-02,6.043113260384647828e-02,5.116600093852211734e-02,-3.156617893271480152e-02,-1.396323175205946010e-01,7.475353958907796081e-02,2.363286035839014254e-02,-4.162277437984233941e-02,1.584182902163435228e-02,2.934411560379045908e-02,1.906998195508819577e-02,-5.209048495311351806e-02,-2.925577704240813620e-02,2.102877088915363832e-02,1.979609217181620487e-02,2.328710345207202215e-02,1.566474400509934931e-02,-1.097423703361835937e-02,2.077489506820107829e-02,-2.372837116236890115e-02,-2.236459248509852990e-02,-2.359699346851895294e-02,2.771613926536052597e-02,-1.308920139562465279e-02,-3.059179009743264246e-02,9.817989362464332043e-03
1.244859847093363753e-01,1.636911861960473405e-02,4.392772571809880899e-01,1.000000000000000000e+00,-9.828351228104899306e-02,-8.293880952853887809e-03,-3.595590160471155965e-03,-6.202539162603833978e-01,-3.398651330893519285e-02,-1.180612058232697048e-01,-1.224693386409869342e-02,-1.126642743970020927e-02,-8.607583458697351531e-02,3.639681144643432120e-02,-3.838482871161717075e-02,-2.307659924957807807e-01,-1.357243968757051167e-01,-1.707430768042070834e-01,2.344934712793718748e-02,2.054445724729632439e-02,-3.465253231041649090e-02,-2.361812366570949576e-02,-3.531156268186516102e-03,-1.143991700498866310e-02,3.194169698219342934e-02,6.194104499713985745e-02,3.244531039591855986e-02,-2.314597429969759979e-02,-1.723245318657768213e-02,-4.241266288760556225e-02,-9.475021230140582076e-03,-8.907925113451778051e-03,-6.477929409771248509e-03,1.013445447465359354e-02,2.477823287770318170e-02,2.808294462930462088e-02,4.509684139682205994e-02,4.473252445598833310e-02,7.173520708830465054e-02,6.226729640119226666e-02,-2.560074581239609598e-02,-4.741972473672211030e-02,1.966509707314639116e-02,-2.328305224871415294e-04,-7.647896600928907060e-04,-1.972737740912915670e-03,1.329205444774687363e-02,2.733493348927569164e-03,1.970600535695085642e-02,-2.649462610715383817e-02,1.078809591478416818e-01,5.081575797273607531e-02,2.325518224687191798e-02,-1.061231814649614968e-01,-1.259455967794149978e-02,2.988325063390641270e-03,-5.297437462970105287e-03,1.486052423020798631e-02,-8.499960066851131382e-03,-5.862056279346541596e-03,-1.046569535309400771e-02,-4.093274028547315424e-02,2.598181993321775282e-02,-1.691888850533999344e-01,5.824539737148345941e-02,4.855103897965092064e-02,-5.803221272219210615e-03,-1.510984971281306537e-02,2.215949894165116126e-03,1.599551886137588405e-02,-2.184217486098745473e-03,-3.401909347976609516e-02,-4.897382867388239613e-04,1.454544801233488950e-03,-3.510233307228399768e-02,-5.010635616317059282e-02,1.876767681613846286e-02,-1.385272528071789140e-02
1.129722813371211894e-02,-1.688268783337575074e-01,-4.533608972646748642e-02,-9.828351228093716585e-02,9.999999999999998890e-01,3.292980054538385132e-02,6.233959886220363789e-02,8.276722692259544378e-02,1.225511693561205304e-02,9.525821157113813220e-02,-8.551099891215761502e-04,3.523443148486470750e-02,4.717914324358469247e-01,-3.634543847437127911e-02,6.034947884398941809e-02,2.960588585920067017e-01,2.297549303778763929e-01,2.075039146400767809e-01,-1.973778953434026512e-02,8.105814044059923493e-03,3.497242010244139832e-01,-3.824186349176081356e-01,6.042552045070281874e-01,-1.042932066527331447e-01,-1.483895264500704470e-01,1.386956443640222914e-01,-6.502252135685211709e-02,3.798418846363545431e-01,2.940667958522731780e-03,5.052592003635993784e-02,8.337922065059365229e-02,1.809328588110058894e-02,7.919994846146900021e-04,4.051869755952053342e-02,-6.553717880195839007e-02,-4.746872013817789171e-02,-2.529423948602045266e-02,-3.109443780857808898e-02,-2.594816083108878943e-02,-2.289076215577316026e-02,2.117495627801540062e-02,7.429008633883889268e-02,2.024886156094321543e-02,-4.267752071034419670e-02,3.102854328072504435e-03,2.461244508612393453e-02,4.570536619114923954e-02,1.894739491391198710e-02,-7.503995445141013743e-02,9.016844505485337169e-02,-7.116787702643144475e-03,-2.108617812217576312e-02,-3.511781185163478231e-02,2.121738905482622450e-01,5.900720366276477984e-05,-2.350646549670811977e-02,2.480995990313633257e-02,2.983469349990255579e-02,-2.685915302110649175e-02,1.145659480184969738e-03,1.597917591115754696e-02,1.705442231922958962e-01,-7.198578232515030761e-02,1.593631684976807850e-01,7.004521750863064965e-03,-8.218231070859867426e-02,-2.015125871317229728e-02,-5.149207168454266598e-02,-8.818034955263055058e-03,-1.928551479028968452e-02,-9.637846369808071578e-03,5.344114064654375412e-02,1.362055115573447897e-02,1.149484396539606108e-02,3.870008818914020664e-03,9.550377755974936989e-02,1.374116717411814730e-02,-2.796890181430470440e-02
-3.743514721614875362e-03,-5.011699377810096417e-02,7.091633716996227112e-03,-8.293880952863449604e-03,3.292980054539999812e-02,1.000000000000000000e+00,-2.814256253340892064e-02,-7.888350118318597027e-04,2.303823044694163630e-02,3.579800023984937990e-02,1.263655810476106353e-02,5.968218457926710400e-03,5.278095727909858093e-02,-4.212908364103881177e-03,6.882878308312041782e-02,7.240298967673339248e-02,5.626382946583564915e-02,7.669678853761793813e-02,-1.972098024836241650e-02,-1.125785895766948054e-03,5.334537496116968994e-03,7.698955825069579012e-03,4.726026241003258507e-03,-3.494414939813677776e-03,-9.340660287725621735e-03,-1.029821226059865653e-02,-2.345163430254481457e-02,4.597424584559029609e-02,1.474090239327426333e-01,1.672004809948096637e-02,3.651506010870694818e-01,-1.208079353060605987e-01,-1.387801138228400011e-01,1.774564026628959457e-01,-1.489099959501357096e-01,-1.406953776403229439e-01,-3.915371546234077543e-02,1.915128521018238245e-02,8.244971139414610743e-04,-1.035442435987208795e-02,2.106362666178945506e-02,4.966275668784380986e-04,-2.650783194369042001e-02,1.634522374714428294e-02,-2.798768651640877458e-02,1.300968508108944072e-02,8.667803423479478186e-02,-2.339927802629445872e-02,3.531757886767655091e-02,1.736729978660051660e-03,2.216540630942199358e-02,-2.590987857483314713e-02,-4.113143767212942836e-02,8.500798674506900021e-02,-2.134698709974368336e-02,1.221561479345658480e-02,2.603791819839768040e-02,-8.358701170695594443e-03,-1.397574489536028072e-02,-4.130824691755592432e-04,3.978795022418280154e-03,5.169796210631185523e-02,-1.831421172885856416e-02,2.692011567403736899e-02,2.138461182343362878e-04,-2.540815993660885258e-02,1.225679247447834970e-02,-1.846642456287727338e-03,-1.701921067000651197e-02,-7.862196400645395447e-03,6.697468625673381852e-03,1.243341734274845158e-02,2.188678744145855558e-05,4.084514099162620633e-04,7.967635586454586971e-03,2.280260237765731335e-02,-2.302992796697951334e-03,2.388442349669628924e-03
2.590180774213607720e-02,-6.186760163169806315e-02,-1.304910616810878339e-02,-3.595590160448643158e-03,6.233959886218255753e-02,-2.814256253342231270e-02,9.999999999999998890e-01,1.086370982276908467e-02,3.827231747421718649e-02,3.010416435584971004e-02,-8.868456107926072848e-03,1.068585993041910875e-02,1.347230195002922237e-01,-2.274091873781270562e-02,1.237052335660887847e-01,6.181500924303000299e-02,9.278146090621983144e-03,6.442749248311342714e-02,1.958459031053610966e-02,7.724950778104162225e-03,2.617293802531166225e-02,-5.626449040204493240e-02,4.409898069316896957e-02,-2.956955460657063189e-02,1.914062363164687570e-03,2.528517656955144455e-03,-3.034198539727084309e-02,1.275188629584795841e-01,1.172172651026754005e-02,2.067309443557032583e-02,5.191481422663023031e-03,-1.281472863959581127e-02,1.838709242451683212e-02,-1.398523077131641479e-02,1.827902367551201279e-02,-1.522753138904986078e-02,-2.089382812108053419e-02,-2.611023669753773091e-02,-8.749859987066727421e-03,-9.241911590138138233e-03,-9.303243873619622406e-02,-3.288869030208844361e-04,6.098222169053361119e-01,-1.352992062136719742e-01,-1.950256494309846322e-01,-9.363824841261662868e-02,8.223685370657682348e-02,-2.451574677062097560e-03,-9.517825656596506922e-03,2.794981365384499594e-02,-9.065171340764843766e-03,-1.650008860743230887e-02,-5.200377051512202874e-04,4.156105833470061933e-02,-6.323725904382074964e-03,2.804489399166338118e-02,3.106783532588750646e-02,6.510827725816450626e-03,2.532493548481066364e-02,-6.189201873723126912e-03,2.935790038394821364e-03,-1.215347821164144851e-04,-3.727448444836461896e-03,4.206433481362300414e-02,-1.910166706648539631e-02,-2.479891102373622293e-03,-2.689765166376289693e-03,-9.994951303302558598e-03,2.193383015557476973e-02,-1.139755975273234459e-03,3.634574457487306075e-03,-1.556286767297766381e-03,-3.058136021460068025e-03,-3.095071769473537425e-03,2.816547513293177142e-04,1.904429085167236649e-02,8.043212783752922909e-03,-4.937044087178615696e-03
-7.930180149726298588e-02,-5.122495655944964837e-02,-2.432656384467973831e-01,-6.202539162603870615e-01,8.276722692265975345e-02,-7.888350118507042206e-04,1.086370982279391724e-02,1.000000000000000222e+00,6.952595644065161229e-02,1.037251818823962529e-01,1.381989741541095676e-02,1.647216150520902644e-02,8.158750260551203559e-02,-1.378461507038646235e-02,8.527753898029141744e-02,3.369609802943708265e-01,1.415176172748682237e-01,1.634640866098856782e-01,-2.231508693585941214e-02,-2.511960911557391610e-02,5.193455780633828012e-02,1.640831641981218073e-02,-1.107564550575628783e-02,3.445028712787584491e-02,-2.890549510421816862e-02,-6.505931701545650259e-02,-2.908530030243515127e-02,5.339870015723655744e-02,6.620390866618368515e-03,1.839164537829567417e-02,2.104936498158995611e-02,-4.750271432388002873e-05,1.257048510771269006e-03,-2.267771534344394276e-03,-7.296794726917325488e-04,-6.397890614493196822e-04,-2.677540681843793707e-02,-1.648435618009319592e-02,-7.187803316095735251e-02,-5.886760437758421088e-02,5.489054616645621526e-02,1.867257317637282567e-03,-4.766761415924307410e-02,-2.495247935687336990e-03,1.192174126815763631e-02,-2.435363958761634778e-02,7.293861760740688593e-02,-1.053471797816819544e-01,4.289946163567774640e-02,4.025910448938492814e-01,-4.454455059233210501e-01,-1.588124115649600099e-01,1.406098366258781707e-01,2.587814225647133703e-01,5.573672714787254734e-02,-2.743542768844673199e-02,-4.357200172760564150e-02,1.517032439154890810e-03,8.297946409830636930e-03,-2.844768993974154669e-02,1.744612334303045909e-02,1.180082283199861137e-01,-2.797781102376263249e-02,1.032842492901479142e-01,-1.751565098482647798e-02,-4.288642356520418197e-02,2.458591179501546167e-02,3.488958983785345885e-02,2.139773093399018750e-02,-2.214831081130602328e-02,1.727093452224404482e-02,1.838715587601882570e-02,-1.453949224827244362e-02,-2.154224488751598290e-02,5.668177129686966659e-02,5.685478524651413346e-02,-3.012736425293087092e-02,2.278541939948944273e-02
3.323641313517060603e-01,-2.381126421515253888e-01,-2.352067731319344712e-01,-3.398651330895666872e-02,1.225511693564075230e-02,2.303823044696176256e-02,3.827231747420904023e-02,6.952595644066904279e-02,1.000000000000000222e+00,1.695202545138040917e-01,-9.801284886177502966e-05,6.326065284353650942e-04,5.819953278164756438e-02,7.730361363132089159e-02,-3.721179472712189684e-02,2.526454830666852516e-02,7.799200746494068526e-02,8.221907786796943396e-02,-3.737767037301046452e-02,-1.165362925848316585e-02,-6.995828604285851335e-03,1.436972357591881572e-03,1.276406583041724691e-02,-2.025771894967473216e-02,-9.088081698401570541e-02,-2.285770854824719159e-02,3.067997326197680757e-02,3.541903376068400444e-02,3.615733569462445396e-03,-6.934844050490064638e-02,1.114154895836976487e-02,1.117250650775785878e-03,-3.177708537437117647e-02,-1.932495289869635632e-02,5.508360024115618175e-02,5.049600403630081363e-02,5.432638528644861270e-02,7.593639693751096098e-02,6.808498128581523534e-02,6.629920835928512779e-02,-4.841232944958901926e-03,5.119935257157346570e-02,2.417158872542491885e-02,1.150995144304222360e-02,4.858284243199063185e-02,3.074153159180001080e-02,-4.401680634054404295e-02,-1.222439193434987637e-02,2.896766825514142732e-02,2.369191800540692075e-02,3.931735999924129178e-03,-4.783489201002953939e-01,-5.208261024153733321e-02,-1.783141924267794267e-03,7.108776669759112044e-02,-7.444729186343318483e-02,3.018167994526720910e-01,-9.681435399954568116e-03,-5.095088072815126545e-02,5.568437957659268939e-02,-3.026306619962951076e-03,7.558088689216537273e-03,6.447047263687098739e-02,3.129926380770640948e-02,-1.838766961536061895e-02,-3.322379405807664166e-02,-1.053892536262314439e-02,-1.127374457832432467e-02,-3.024672837061118114e-02,6.688783030277272888e-04,-1.747223541814383815e-02,3.557890041033471423e-02,1.970892674003613468e-02,2.072554227403341706e-02,-5.391886043257438678e-03,2.165201589122479550e-02,3.810189045958963048e-03,-3.122977816975699202e-03
6.077289764933758998e-02,-1.971442004656736857e-01,-9.542888320119861933e-02,-1.180612058232612394e-01,9.525821157120446803e-02,3.579800023984595903e-02,3.010416435586912853e-02,1.037251818823892030e-01,1.695202545137922956e-01,1.000000000000000000e+00,-1.926046983451294714e-02,-2.730505715800247458e-03,1.564717098964934494e-01,4.712614357940115434e-02,1.318121662439898090e-01,2.552581885515228799e-01,3.397106145767362917e-01,2.691077467804116607e-01,-5.644838943721961627e-02,-1.637145994387348077e-02,1.338402488307597303e-02,5.738214135426707857e-02,4.781286538074155153e-04,-1.785066778166138554e-02,-4.644850817906198692e-02,-1.054686522428747580e-01,-3.226865428845431157e-03,3.934346897932958220e-02,-1.221760010027581425e-04,-2.630825350010591174e-02,3.372015292084518806e-02,7.482421558524662668e-03,-3.059833898276402217e-02,-1.675739531751587949e-02,2.977179156540048222e-02,2.775024255995023337e-02,2.251708607943846835e-02,3.590129819987793874e-02,3.856640886400473141e-03,1.005557793937663334e-02,1.627601539137873629e-02,4.702796221546081540e-02,-2.338033917867264957e-02,-2.501478815041774384e-02,7.937617531698781467e-03,-7.906558927989887353e-02,4.342948020478658994e-02,5.103234214028023498e-03,-1.378276039522633931e-02,1.297268260912721408e-03,-1.614898331231781614e-02,-1.012078996644005524e-01,-2.997589924654826543e-01,6.776743871093915406e-02,1.054283080282246259e-02,-4.720788211590534050e-02,1.221521670140440254e-02,-1.143562823312505548e-02,-6.791189241836698143e-02,5.431919795458419083e-03,1.073259819610190499e-02,1.011651833220250513e-01,1.249467504286649357e-02,2.493812292981979206e-01,1.160787524633198342e-01,-1.402509376543708830e-01,-5.633352349598703956e-02,-3.118485906323284138e-02,-3.109503059780799675e-02,-6.173292519728836719e-03,-1.095576052613762320e-02,7.028063610031512476e-02,3.374796191294585426e-03,6.122045585356198846e-03,7.359917753464694824e-03,8.997170267528811771e-02,-1.561063618461046472e-02,-7.361388482322844817e-03
