O $a$ ,O $b$ ,O $c$ ,O O ,O Al ,O Ca ,O K ,O Mg ,O S ,O Si ,O Th ,O U ,Fe AlO1.5 ,Fe CaO ,Fe KO0.5 ,Fe MgO ,Fe Ssil ,Fe SiO2 ,Fe ThO2 ,Fe UO ,Al $a$ ,Al $b$ ,Al $c$ ,Al Al ,Al S ,Al Si ,Al CaO ,Al SiO2 ,Ca $a$ ,Ca $b$ ,Ca $c$ ,Ca Ca ,Ca S ,Ca Si ,Ca KO0.5 ,Ca MgO ,Ca Ssil ,Ca SiO2 ,Ca ThO2 ,Ca UO ,K $a$ ,K $b$ ,K $c$ ,K K ,K S ,K Si ,K SiO2 ,Mg $a$ ,Mg $b$ ,Mg $c$ ,Mg Mg ,Mg S ,Mg Si ,Mg SiO2 ,S $a$ ,S $b$ ,S $c$ ,S S ,S Si ,S Th ,S U ,S SiO2 ,Si $a$ ,Si $b$ ,Si $c$ ,Si Si ,Si Th ,Si U ,Si ThO2 ,Si UO ,Th $a$ ,Th $b$ ,Th $c$ ,Th Th ,U $a$ ,U $b$ ,U $c$ ,U U
1.111855631067846378e-01,-2.353930805814478902e+02,-3.219340145057896674e+00,4.936641543721800168e-02,1.928684084452881795e-02,-9.391038853100773173e-03,4.260148908802316448e-02,-1.285378270789849509e-01,2.181582061981289511e-01,2.256540313417925228e-02,-2.313887356144427865e-01,4.901088861449573453e-02,1.270973257015403078e+03,6.704598200791918316e+03,-6.934653591379141346e+01,-7.771435796711725743e+02,5.940102376402637674e+02,6.631206600725721501e+02,-2.000390889249717929e+02,-2.128637074472084407e+02,-1.151208414526467584e-02,3.714076732556864613e+01,2.153671389931871294e-01,-7.499565887196909530e-01,-4.528568843392415805e-02,-3.786058144802708497e-02,5.393865159904955817e+02,3.025312947118606530e+02,-2.126602682661462088e-02,-2.015206097992197272e+02,4.900467808048837304e-01,-5.409650960912917306e+00,-2.564743684172625035e-02,1.832666237306645324e-02,4.383269170291101545e+03,4.011601044139384612e+03,4.150016182566647331e+03,6.957965244444370910e+03,1.376950640487206510e+04,1.043352153877298042e+04,-7.851019264673547715e-03,2.673651624598431198e+01,4.149511500475706605e-01,-2.925536879263736512e-01,7.681823782091699512e-03,2.739539876093227081e-03,-7.074196700658405916e+02,-6.587410437883781458e-03,4.526971406561079903e+01,1.387902053089516419e-01,4.036247533252123043e-01,-1.842500337985633341e-01,-3.550653097922570889e-02,-1.594673779807847041e+03,-9.506483440004920987e-03,1.354095385091336468e+01,8.406564011844344098e-01,-3.486985846257253940e-02,-1.208145381409504553e-02,1.314593796505323198e+01,-9.320143578546411650e-03,-5.845919657387739790e+02,-6.400089956676264548e-03,6.954978688813562826e+01,5.224431036412872237e-02,-3.252730050989938084e-03,-3.211923207657545881e-02,-1.732126893543756152e-02,-1.548244432670228434e+03,6.801276700879070631e+02,-4.930201441140132784e-02,1.339471340447552734e+02,2.510153914864535096e+00,7.092475251971474393e+01,-2.261836794667762898e-02,2.324800735877699154e+01,1.066756148959634443e+00,-5.139333624424612390e-01
-2.353930805814514997e+02,8.435602196926291799e+05,5.902569310563645558e+03,1.788011369956242547e+01,-7.938978645220029193e+02,-3.463003655497015529e+02,-2.802798202290188101e+02,-2.286985152361534688e+02,-4.305005444285180261e+02,-2.016280750779642403e+02,5.489037132281447384e+02,-4.175808284203192784e+02,-1.203934173052263632e+07,-3.449502660814372450e+07,-6.316853078539351933e+06,-6.535386152470466681e+06,-9.771004485170746222e+06,-9.028640873277185485e+06,7.939653705101858824e+06,9.535131702642630262e+04,-2.104732712731899102e+00,-4.305139440138922073e+05,-2.054815850886435555e+02,2.006512573884079075e+03,2.268280365006682757e+02,1.005123214596720004e+03,2.587330767392286565e+06,-3.951741632107799407e+06,5.363005987621424708e+01,6.425986868878809037e+05,-2.591802894065077908e+03,2.851738556101428003e+03,2.155071313899745462e+02,2.109969929932978516e+02,-2.243591360062786192e+07,-1.902198095503791794e+07,-1.351624164561782964e+07,-2.529231283467643335e+07,-2.744566139739573747e+07,-2.337252578901334852e+07,2.906292594816656916e+00,-1.936854698736306455e+05,1.009878605910031837e+02,3.554478393615999721e+03,-2.189634140821902974e+01,7.132163637814718982e+01,-2.281400762803350808e+05,4.631599799292111186e+00,-1.893867954419681155e+03,-4.167199128214433017e+02,7.916493931592892750e+02,4.081966525368786733e+02,2.158013753575162070e+02,-1.438168255134208594e+06,7.506309466398846553e+00,-1.324147507620910619e+04,-8.733430035884115341e+02,5.626401997322356863e+01,2.460047192088719825e+01,2.941965653775684405e+04,-4.489611566038566792e+01,-6.431543119050132809e+05,6.384153249714560729e+01,-8.845958285529068671e+05,1.221601079616020115e+03,3.444111631286097008e+01,1.327308705229994530e+02,5.920662495153715810e+01,6.110214069935698062e+06,-6.160291766255142866e+05,1.367505644747017755e+02,-1.159925121383444639e+06,-6.917278883106641842e+03,-2.120996484619667463e+05,5.199870815801410195e+00,-3.912148357676835149e+05,-7.061100124796262207e+02,1.261629254719078972e+03
-3.219340145057902891e+00,5.902569310563598265e+03,1.714484357084826343e+02,6.840571980611674263e+00,-3.039315748994988464e+00,6.985909443492712700e-01,-8.427873964575693932e-01,-1.548357466926906234e+01,-6.062472652633497994e+00,-1.391411400865973258e+00,1.691255614682511399e-01,-1.472659664938613888e+00,-8.119965537810903334e+04,1.971834517198826507e+04,2.680562152980579049e+04,1.347900282977433744e+04,-8.802170984981568836e+03,-9.246569534895872494e+03,2.690553347011183359e+04,3.349913945293000143e+04,2.667715160663142737e-01,4.825481255441700341e+02,-1.693658056578479787e+01,2.820228620861697522e+01,2.246473616451973410e+00,1.237491853547400433e+00,4.003831861022302764e+05,-6.535318692834609101e+04,2.589929371398925761e-01,-2.161162004069543855e+03,-3.179889796150832382e+01,1.089667310319441214e+02,-1.259107554791328021e-01,-2.185833932159290782e+00,6.929759833197174885e+04,6.897231071104161674e+04,5.089914793579320394e+04,-7.091853995496714560e+03,-1.553761296767474269e+05,-9.015879620870207145e+04,1.558020241833681097e-01,-9.900605990164399373e+02,-1.421914516308219412e+01,1.090618392711205420e+00,-1.059810420753199145e-01,-7.432611154983157498e-01,3.574018671379142324e+04,1.902640698426439902e-01,-1.125842796566435482e+03,-7.242121537549212285e+00,8.694443142622885201e-01,5.573613953270287524e+00,1.515674720183610935e+00,2.924506210699146686e+04,3.035629134049283584e-01,-4.705598823206866541e+02,-2.849720164861185978e+01,1.098117428475470891e+00,2.560215625403560735e-01,-1.043623960704344199e+03,4.609923567960598767e-01,1.125715239472983194e+04,8.940449446483271501e-02,-1.058068486614133462e+03,-4.998546879776231577e+00,5.881949325443259352e-02,4.100528619712596190e-01,3.432123974407761402e-01,3.508051317320839735e+04,-1.314779668448196935e+04,1.247192453898299025e+00,-3.163398667376363392e+03,-9.079963495136659901e+01,-2.121688975424173805e+03,4.739339438716269060e-01,-5.066936423472125171e+02,-2.960824885815888763e+01,8.069176750693744182e+00
4.936641543722547487e-02,1.788011369954949359e+01,6.840571980611517056e+00,1.414405281450066942e+00,-5.984565169565150278e-01,-7.420866590260158380e-02,-2.109247884399986783e-02,-3.585751183426513666e+00,-7.956585837216365031e-02,-1.563518779629263500e-01,-4.190754529647508497e-01,-1.778689267388184614e-01,-5.199519982373157291e+03,1.935626278941698183e+04,-1.353033804231013164e+03,-5.975528493605967924e+03,-3.979037667662701551e+03,-3.174874614863411807e+03,4.245084387464348765e+03,2.754425793890498426e+03,-3.271200465841440919e-02,-1.041995228888557108e+02,-1.209714217808807030e-01,-5.405033063546615946e-01,1.522066424033372001e-01,6.072729951205079191e-01,2.822338007090608153e+04,-2.140851240493468595e+03,-3.059763009156499236e-02,-1.017445526625968228e+03,-5.854341331205704657e-01,-7.704221781397249558e+00,-3.465295942607816981e-02,8.657521448021081312e-02,1.344207193896449280e+04,1.267423289835410469e+04,2.175118576491183921e+04,2.706419814921000216e+04,4.771076989750555367e+04,3.599356240303963568e+04,-1.875579465729980064e-02,-8.471270138420743478e+01,7.169343878765813693e-01,-3.577109338876721667e-02,-2.666138403175940304e-03,-2.996188181432320012e-03,7.387657861798232943e+02,2.125097124512364665e-03,5.521906318103030031e+01,-6.059313428342790742e-01,4.362505832513758008e+00,1.934468158463421572e-01,9.891566977996207877e-02,-4.664684191841872234e+03,-6.786883549930298846e-03,4.046139882563746681e+00,-9.819791778720239617e-02,1.982765366512232244e-02,-8.363678141659029383e-03,-1.335005858307081716e+01,-2.766155962583260325e-02,-1.426259373314775303e+03,1.106365970909919082e-02,-3.121385284399170246e+02,9.038865325859698485e-01,1.233462892189918225e-02,-1.091816571065873202e-02,-2.022682934680531883e-02,4.507365156548685263e+02,1.740592655676453887e+03,-1.190997051711906174e-02,-4.119352037502127928e+02,-1.805956736611091518e-01,1.187879318195823863e+01,-5.451816550382594662e-02,-1.761754126463872296e+02,1.649827426539476116e+00,-1.034098871381888607e+00
1.928684084460350126e-02,-7.938978645219987129e+02,-3.039315748991783472e+00,-5.984565169558341280e-01,2.621380084786017406e+01,1.268422654437569408e+00,1.574343536334833926e+00,2.059904579550943193e+00,1.235138510102153503e-01,5.430957123481854332e-01,-1.259693514603673348e-01,2.394744542199605863e+00,1.226902700704380550e+05,-8.321203567449492402e+04,9.157999751556499177e+03,3.300354849454243958e+04,2.899766531129767100e+04,1.661069609791056791e+04,-1.538268508283267329e+04,4.678548154084691305e+03,1.421267849860625265e+00,-7.263357963239331184e+03,8.911776998820231199e+01,-2.121336502654292033e+01,-3.044086102853611475e+00,5.853913847843736917e+00,-2.434999969353608612e+05,1.512488006657407677e+05,2.247836584423548376e-02,5.218046196296088965e+03,2.217858031165352983e+01,6.736708061256879887e+01,1.823925440617428853e-02,1.490138858684519230e+00,-1.530599934445562540e+05,-9.222838953251994099e+04,-5.252142515301488311e+04,-8.099021068051505426e+04,-7.429656113130399899e+04,-5.696434906348676304e+04,6.678569306771180158e-02,5.713449968131110381e+02,3.178059264373368720e+00,-2.822731354109996360e+01,4.656720081031635872e-02,1.609283493344346450e-01,1.093603568153290871e+04,6.341446492730810902e-02,-9.052344280136552470e+02,8.877655050931970493e+00,-1.238948617903480542e+00,-3.455724496984456939e-01,-6.430590573721425285e-01,4.014967077055230766e+04,1.368896162960231498e-04,-1.370182609535571032e+02,1.979887738446327594e+00,1.713708054475086562e-01,-1.137760370747230576e-01,1.123225111440976676e+01,1.818197328696075643e-01,2.558248735131305148e+04,-1.319635629904810648e-01,1.265731443980501126e+03,4.679601317242138570e-01,-8.988432714242526600e-02,-1.632152720636716459e-01,-2.967468338686043428e-01,-7.721695761508679425e+03,-9.034583032613129035e+03,-2.262418113477162041e-01,2.785864272791748590e+03,2.162300403685634365e+01,4.041349052046055590e+02,2.587588836452210314e-02,1.445609819193490921e+03,5.200315456853015661e+00,-8.988357136461139874e+00
-9.391038853055373725e-03,-3.463003655499119304e+02,6.985909443483183656e-01,-7.420866590268712648e-02,1.268422654438191355e+00,5.660043696480790487e+01,-1.044345106268937950e+00,-2.884826978600733491e-02,3.411867959344293544e-01,2.999007910759464712e-01,2.735373319341716680e+00,5.960484038682380969e-01,2.016890077203070905e+04,-1.417304418231551062e+04,1.534765714017461869e+04,1.185998037433804893e+04,1.043451758744995641e+04,9.021600926605209679e+03,-2.258432046693885786e+04,-9.548060562233948758e+02,3.185604907313609874e-02,2.148696731680987853e+02,1.024200382496188277e+00,-1.044414546545333833e+00,-2.815633703584085601e-01,-6.386901776202211778e-01,-1.290485596439395449e+05,2.689977178684127648e+04,1.655723109561171302e+00,2.537325042948884857e+03,1.427226252023864959e+02,-6.609530915168842284e+02,-4.696283603271410811e+00,9.589762040554075995e+00,-5.110256439268449903e+05,-4.016814966302943649e+05,-1.194628167299285997e+05,7.329808659950658330e+04,3.468935025900780602e+03,-3.786288829596115829e+04,9.762003470522186144e-02,5.612331076630086457e+00,-6.113367209970152594e+00,1.588569169587605678e+01,-6.172067130642941990e-01,1.249940887187305505e-01,3.047520763820153661e+04,-1.150763761487365727e-01,6.260432233090427872e+02,2.512585683510339951e-01,5.670088997174257628e+00,-6.239524763387086503e-01,-1.106731308012883330e+00,2.363712617537011101e+04,-7.276909167392429933e-02,1.046288236017837789e+02,3.053273132361811193e+00,-7.055031395069691347e-02,-8.699180621742327868e-02,-5.951040550102366211e+00,6.652472648999997740e-02,1.139525564931110603e+04,-4.933332973115197445e-02,3.141777529039100614e+02,2.099310276806471212e-02,-4.083416998273393939e-02,1.458748228354765641e-01,-1.563772023591092700e-02,-2.189904512535499089e+04,-5.412098102614100753e+03,2.310194002101731703e-01,9.524005561687789623e+02,5.105617343146798964e-02,2.110126907423811460e+01,7.828123541494830251e-02,5.071773473396398231e+02,-1.280688588329164768e+00,1.127884330029361282e+00
4.260148908805218987e-02,-2.802798202289708343e+02,-8.427873964580214761e-01,-2.109247884386780333e-02,1.574343536334301685e+00,-1.044345106269434886e+00,2.432993834820129919e+01,2.604787875333111069e-01,3.716109221796142781e-01,1.653506982874677067e-01,-1.258625252563077224e+00,6.996919981604370342e-01,3.375261198089180834e+04,-5.015910130370355182e+04,1.808509037459658794e+04,6.638684378323122473e+03,1.128144956109604209e+03,4.968648493404331930e+03,1.470461414053852968e+04,4.295519498207074321e+03,1.024727116206628069e-01,-1.029528319650178219e+03,6.265820776811376724e+00,-5.794338113917095079e+00,3.782816490380613850e-02,1.028146499278401738e-01,-1.094673627879770793e+05,4.891803748356540746e+04,8.632087548052308490e-02,2.056859771089758397e+03,1.330370854822848115e+00,-4.596689858660691641e+01,4.079441856012816503e-01,-4.955031351026766284e-01,4.112751314860059938e+04,-2.850310105850135005e+04,-4.179635411277024832e+04,-6.551883021037816798e+04,-2.413619142003685920e+04,-2.215696145405050993e+04,-2.826837389650226351e-01,-2.436798683003433386e+00,9.220832422297436892e+01,-8.621267500046855048e+01,-2.819784929966130615e+00,-5.898432096442399741e-01,1.895678647910117797e+04,-7.904774011153962998e-03,-1.106144215813407783e+02,2.651112203491899244e+00,-1.520375309758441373e+00,-2.605151735669670732e-01,-9.174105949439612107e-03,7.576735961780813341e+03,-1.413331427138629637e-02,1.574890734862297563e+02,2.388531672813516415e+00,3.602939486564361166e-02,1.033504432082836821e-01,-5.845900319253136956e+01,3.218230425814177370e-02,-1.756353166178991287e+01,-6.583009105408903737e-03,3.218645491878946245e+02,-1.229439448254380896e+00,-2.613026056296221221e-03,-2.098835908706595671e-02,-5.549219678339491202e-02,1.850379689167915785e+04,-5.143920663662048582e+02,8.219623905196746239e-02,-7.815906687849100365e+01,-4.677175352634173500e+00,-1.048333616010012008e+02,1.814286639445529103e-03,2.777159680263157497e+02,2.932520997860645462e+00,-1.528542144581535922e+00
-1.285378270789614141e-01,-2.286985152363002669e+02,-1.548357466926943005e+01,-3.585751183426534983e+00,2.059904579552543691e+00,-2.884826978669649197e-02,2.604787875339065195e-01,2.362911202870694183e+01,6.652790967008649359e-01,5.614574623420335309e-01,1.932886869520613393e+00,1.062921565022050929e+00,2.014384703352205906e+04,-2.996329568046441273e+04,1.228628159204222538e+04,3.566324790336517617e+04,1.695771780124485667e+04,1.242346078105882407e+04,-1.651166700049629799e+04,-1.376531161944058476e+04,2.003850819219142876e-01,2.958837583849149837e+02,-1.550856664348770675e+00,6.652809581704916653e+00,-5.629797824739101175e-01,-2.607064084166660134e+00,-1.034111598452336621e+05,2.018731109777680831e+04,4.804642509594703181e-02,1.803320735729423859e+03,5.315860954870324839e+00,-1.679219276434086583e-01,2.748482162545728275e-02,-7.918251024443552499e-02,-1.617948820916554268e+03,-1.180191863791069409e+03,-5.278489437275557430e+04,-4.076434910693505662e+04,-1.953966074650711089e+05,-1.390842495272090309e+05,1.643679618081652360e-01,1.363422442904317755e+01,-7.103027542143548700e+00,-1.566905385859022282e+00,1.698701777270570368e-01,-1.511821001018280874e-01,1.656948294986817564e+04,-3.347498891447213687e-01,4.913365204245556015e+02,3.763279709931268968e+01,-7.362453575062066591e+01,-2.471066222031801374e+00,2.444543773031182088e+00,4.649238732390402583e+04,1.227624757896955549e-01,-1.518313859981686562e+02,-3.301267517202101764e+00,8.273110551391533313e-03,3.337242901048976390e-02,-2.647993774165868786e+02,1.884708889439589974e-01,1.680647941698224167e+04,-4.869448077082345200e-02,7.788367097086648982e+02,-1.111003308029303138e+00,-4.453322603392326912e-02,1.890617339125460483e-01,1.908975240130271478e-01,1.778964555412523623e+04,-9.850906338794884505e+03,3.849172820099754921e-01,9.100337420094480194e+02,-2.191438518136732228e+01,-7.190729356307542730e+02,3.598201086757045197e-01,8.170643572938824946e+02,-1.082495020096901506e+01,6.952174034869353925e+00
2.181582061981180154e-01,-4.305005444285143312e+02,-6.062472652633497106e+00,-7.956585837221392954e-02,1.235138510105045911e-01,3.411867959347274493e-01,3.716109221795351747e-01,6.652790967010316914e-01,3.874952744668048954e+00,3.715897739038392933e-01,-5.551292790664800331e-03,1.653079730094313138e-02,5.818992241384358749e+03,6.804625641860661563e+04,-2.171080503797296842e+03,1.082835093224923639e+03,3.784569626578896987e+03,2.530476727344194842e+03,-1.119989813356225932e+04,-2.586091414869239543e+03,-1.093094259953232214e-02,1.049337087360638954e+01,7.237709597300492348e-01,-1.584208333194653706e+00,-7.167935909655076543e-01,-3.709235455041622331e-01,4.417314677930896869e+04,5.422430625043139116e+03,1.062633185492152348e-02,-2.753585689315835225e+03,1.139435357545709238e+00,1.599370590553561344e+00,-2.813613572636356475e-01,-2.732485806404357787e-01,4.946118003253582719e+04,3.772092397211809293e+04,4.337044644636558223e+04,7.604453590360649105e+04,7.495172998711741820e+04,6.343361125914419245e+04,-5.870635310851596116e-03,1.513910643634848157e+02,1.458595213890363063e+00,2.926928169867561103e+00,2.803301916514618353e-01,7.728078144740820055e-02,-4.049295418405859891e+03,-1.573020195507885549e-02,1.343538904362838480e+02,8.968341025464604543e-01,2.631611897974669434e-01,-3.014076328098382884e+00,-3.666775839584073826e-01,-1.297311198435661481e+02,6.340573630653320580e-02,-1.668430923332131215e+02,9.260322689019588438e+00,-2.138076385012261868e-02,-8.298094806334808948e-02,2.099001958062542030e+02,-1.323938381941275853e-02,4.358990736605135226e+02,4.543979523046842023e-02,9.557756091229782669e+01,-4.723079607424453541e-01,-1.397085731424807693e-02,-3.281883427160163513e-02,-2.497940717974328831e-02,-1.018327527502325756e+04,1.204736847574694991e+02,-1.576919596140260449e-01,7.130910143147647204e+02,1.202963721883425130e+01,2.801543638697703500e+02,-1.386092541060679993e-02,1.260076998739887699e+02,5.543969055966845305e-01,-3.858708862505867421e-01
2.256540313417024907e-02,-2.016280750779584992e+02,-1.391411400865560699e+00,-1.563518779629151367e-01,5.430957123485635751e-01,2.999007910759178275e-01,1.653506982875743714e-01,5.614574623419953392e-01,3.715897739038134251e-01,1.239989208115917618e+00,-6.170974411015919259e-01,-4.036258462249309176e-02,8.849930412335603251e+03,2.346616342845013060e+04,4.350373609120727451e+03,6.188796671065571900e+03,9.325052059448584259e+03,4.685238390442865239e+03,-9.568175787706812116e+03,-2.055160916277116485e+03,1.182989624612817287e-02,2.370386183994931741e+02,1.533672523447373974e-02,-7.896815051790476714e-01,-2.072380076508205660e-01,-9.681682921076891768e-01,-2.628209393746464229e+03,3.407263273799461331e+03,-2.031180911759129456e-04,-5.909213238288314187e+02,1.950784973717905268e+00,6.059215651878302467e+00,-1.532582945965221821e-01,-1.340360846567017206e-01,1.512247491657223873e+04,1.172648470058568273e+04,1.016883074593088531e+04,2.033779790702158061e+04,2.401680807499307321e+03,5.442442852670365937e+03,1.116485177383713494e-02,7.866248846420708674e+01,-7.980978530987348218e-01,-3.598414181065478612e+00,2.590913236879314671e-02,-1.124370036433196413e-01,2.260066989384850785e+03,3.714738791681907078e-03,-3.616168527997493243e+01,2.777905280707201538e-02,-6.114464464880693395e-01,-3.607444081339859498e-01,-1.193822025270712572e+00,2.789042132739543831e+03,5.319449175513109654e-03,-5.984799299967735209e+01,2.120116052999864997e-01,-1.428628272149428877e-02,-6.256742429688881557e-02,1.158266657518500686e+01,2.656045209758854317e-02,3.300507945343226311e+03,4.981684560096518756e-03,4.307857507842564928e+02,1.686658087726834232e+00,-3.336225149913246701e-02,-9.923605367020156554e-02,-3.908710174578734764e-02,-5.922101049384539692e+03,-6.289812349315257052e+02,-5.593444788222052405e-02,7.968266910968868615e+02,1.165233207497190060e+00,4.681271133995526412e+01,1.070286950119440396e-02,2.961968487395983516e+02,-1.284903828650895363e+00,-5.145275075789579322e-01
