O $a$ ,O $b$ ,O O ,O Al ,O Mg ,O S ,O Si ,O Th ,O U ,Fe AlO1.5 ,Fe CaO ,Fe KO0.5 ,Fe Ssil ,Fe SiO2 ,Fe ThO2 ,Al $a$ ,Al Al ,Ca $a$ ,Ca $b$ ,Ca Ssil ,Ca SiO2 ,Ca ThO2 ,Ca UO ,K $a$ ,K $b$ ,K K ,K SiO2 ,Mg $a$ ,Mg SiO2 ,S $a$ ,S $b$ ,S $c$ ,S S ,S Si ,S U ,S SiO2 ,Si $a$ ,Si $b$ ,Si $c$ ,Si Si ,Si Th ,Si U ,Th $a$ ,Th $b$ ,U $a$ ,U $b$
1.000000000000000222e+00,-8.161494678876789477e-01,7.517924181517151583e-01,2.309028670113382614e-02,-4.679127640681993716e-01,2.042098499780116150e-01,2.146300634845503281e-03,-4.459660851998671627e-02,-5.059609196425745095e-03,7.604676298876551777e-02,1.672860045712960125e-02,9.337252223146425001e-02,1.377435332871820295e-01,2.113280797104737652e-01,2.577769270003673827e-02,1.268039676833755125e-01,-2.181111321890579630e-02,-2.014059970637183464e-02,2.964256487189660672e-02,-2.612362172788225759e-02,-2.008254652424850545e-02,2.353508948395184250e-02,2.597966371278990008e-02,-8.710877678266375213e-02,8.834528242490456706e-02,-5.721265712368007149e-03,1.263771800004660079e-02,6.618916043982495112e-02,-6.044967889316764376e-02,-1.902312603938789703e-02,6.477877324401599274e-03,5.568093194256049094e-02,-3.234573250210030088e-02,-3.448725464825186382e-02,-9.070288283551712844e-04,-9.020438807994928324e-03,-6.968433081703208354e-02,1.804907637262486708e-01,-1.165085162655318807e-02,-5.576891594689432907e-02,-7.333153620523416572e-02,-2.576496632370540996e-02,-4.853019333939518482e-02,8.665084795522400019e-02,-1.135419593030936695e-02,5.189377796465689113e-02
-8.161494678877099229e-01,1.000000000000000222e+00,-4.424352936246546131e-01,-1.444688483559852799e-01,3.186408048511673585e-01,-1.177374993118716906e-01,-4.057770580786619619e-02,5.912072927922251003e-02,1.090781062249438632e-02,-3.212032398330745275e-01,-2.464799917882018812e-02,-1.664492324001314860e-01,-3.546359057229319101e-01,-6.131379648207915256e-01,-7.663985790817060169e-03,-3.901480982977419409e-01,9.407252091647892722e-02,7.663219828743138284e-02,-1.269671486970201657e-01,4.244869911590967021e-02,1.152086102291134256e-01,-6.512297168306462047e-02,-7.062834034571242869e-02,1.433536071400126066e-01,-3.019847741464659063e-01,3.843129667839183250e-02,1.180492228212382810e-01,-1.644287292218254426e-01,4.009709121621645722e-01,6.718062928591202188e-02,-2.981413289058155308e-02,-8.293132256229900079e-02,2.680651873962401968e-02,4.078111413686486691e-02,3.702218135609728917e-03,1.032652349710114353e-01,1.674517724153342935e-01,-6.186382430703312174e-01,1.209413289741024800e-01,1.230742054021061599e-01,1.483160700556165890e-01,7.338192718497243971e-02,7.435970589508036910e-02,-2.065874444883379901e-01,2.540590197288313326e-02,-1.408295201743960390e-01
7.517924181517153803e-01,-4.424352936246330747e-01,1.000000000000000000e+00,-4.077664381750797234e-02,-6.441464988029838024e-01,7.348128791535718518e-02,-9.632786384061821361e-03,-7.862131392722772338e-03,-2.872555020946025457e-03,2.335413601850094834e-02,5.390684181929205482e-02,2.278874761767246335e-02,-7.681572681316411501e-03,-4.202694407294931683e-02,7.255847403593013558e-04,-3.241258666851632581e-02,-1.327023340451590622e-03,2.580999952042556042e-02,-5.483189370173837535e-02,2.338552097162308399e-02,6.572800788025209839e-02,3.217625581433396220e-02,2.721917799543486019e-02,-2.185199282897295342e-02,-4.045572444497445852e-02,9.862748156425826460e-03,6.868259654956998528e-02,-5.037032681271323004e-02,9.329190481885393793e-02,9.821412566459774771e-03,-3.099697918305218108e-03,-1.073192020458181399e-02,-4.243297240788880195e-03,-1.171093533654734078e-02,-1.360230440022074366e-03,2.649172270487937242e-02,-2.224940224839868502e-02,-5.536444673421508228e-02,7.886892509438167553e-02,-1.118340069585916675e-02,7.110242620530152343e-04,2.556034112878712993e-04,-7.639403075349622931e-04,-1.179138002804664895e-02,1.100723210529036327e-03,-8.053210137027852489e-03
2.309028670114000176e-02,-1.444688483559958825e-01,-4.077664381750580741e-02,1.000000000000000000e+00,-8.363451150545224769e-03,-3.245912090261508440e-03,4.044765023152986638e-02,-2.317747127397742218e-02,-1.054953562991405545e-02,2.318494252205419714e-01,5.873111708839721945e-02,3.463495963191932231e-02,1.118583911452036006e-01,1.543898458390108031e-01,1.573489600669249200e-02,7.718275264294079951e-01,-4.602114566954568775e-01,2.384696845645169726e-03,-1.322366043620441106e-02,3.462814031034632672e-02,2.781854522839648583e-02,6.567451419857887884e-02,6.713359800808747779e-02,-2.271583240464421921e-02,7.905437744563063862e-02,-2.063616803646140668e-02,-3.632245614163814862e-02,6.835751406895367033e-02,-1.681556870210721422e-01,-2.590165317981804258e-02,1.675726138440507273e-02,1.885923114832835715e-02,-3.196328023223665628e-03,-6.950520038909768598e-03,-2.982042297560006435e-03,-5.265200371314180533e-02,-6.791093669842573899e-02,2.067724861778513223e-01,4.931983741828267244e-03,-5.551766451625896742e-02,-5.074075064397238349e-02,-3.099591299198897754e-02,-2.253586713326453592e-02,6.023128443594172321e-02,-9.203565732595718821e-03,3.829365905084557153e-02
-4.679127640681953193e-01,3.186408048511503166e-01,-6.441464988029806937e-01,-8.363451150543018200e-03,1.000000000000000222e+00,6.754682416542179269e-02,4.109024660475386892e-02,1.470128572575289064e-03,3.436969013143561982e-03,-6.926791211159613604e-02,-7.536932644773972588e-03,-3.464758796519304407e-02,-1.615495673329302509e-02,-8.996304510140476843e-03,1.972045183299778474e-04,-8.758167395536271133e-03,2.393721028925278882e-02,2.414247170615492228e-03,-8.099660732575242501e-04,-2.642901026591384494e-03,-2.365478235823346379e-03,-1.709068011360687783e-02,-1.298525271453871213e-02,2.059038008747041820e-02,8.759990266199014705e-03,7.653363393273987861e-03,-2.991399264274805653e-02,6.220328951738253176e-01,4.934711237141711261e-03,1.007067136798369018e-03,-4.849990372957333623e-03,2.981460335845179804e-02,-1.019898538927244309e-02,2.335200080798999385e-03,1.841214852084163299e-03,5.130532911692804732e-03,3.443496297976161163e-02,-3.043436518874032340e-02,-3.087604607454256037e-02,1.374106307932954421e-02,5.998091648952042811e-03,5.813242419208258967e-03,1.790892025147793932e-04,-3.024716002729476577e-03,-4.627506917992676647e-04,-1.865247839805006785e-03
2.042098499779986531e-01,-1.177374993118467522e-01,7.348128791535300797e-02,-3.245912090268135951e-03,6.754682416542563683e-02,1.000000000000000000e+00,1.748445199938298555e-01,-1.881360198109905540e-02,-4.728209693725391079e-03,3.084462268618361550e-02,3.237421840862565736e-02,-2.049030176217913127e-02,6.371434012872309594e-02,5.257140975611608591e-02,-1.390620867743194364e-02,5.151496016878278489e-02,-9.132839652459449550e-03,3.777632284242727397e-03,-7.500247675982330692e-03,-2.331134781070987733e-03,7.395012992619897155e-03,7.050296077149361719e-03,1.230494802628553756e-02,-5.981131651348360612e-02,7.709081750197570304e-02,-3.950472169067381634e-03,-3.288563964800059886e-02,3.420344718272523843e-01,-5.008135936199894361e-02,1.183019175041418042e-01,-1.079888600795133741e-01,2.321532156684863180e-01,8.295308773429360683e-02,-3.326516171774059755e-02,8.380962604520889123e-04,-6.934366603212199776e-03,7.904725234443860105e-02,1.085863945534727704e-02,-1.663351987902722540e-02,-2.810116312379011203e-02,-1.616678216697492107e-02,-1.197459308130768840e-02,-1.140908540688022159e-02,2.697915554268584884e-02,-8.991821231839032882e-03,2.063156959899205278e-02
2.146300634847238438e-03,-4.057770580786279613e-02,-9.632786384059871532e-03,4.044765023152872147e-02,4.109024660475313340e-02,1.748445199938340466e-01,1.000000000000000222e+00,-4.424029440121370060e-02,-2.573889176494010417e-02,1.441419284933530276e-01,2.033474209229479621e-02,3.572529191786465164e-02,2.255184018653234312e-01,1.439474468133317420e-01,-3.628032094909124788e-02,1.078525109269116988e-01,-4.503158213509444313e-02,-1.745373448639332692e-02,2.903599207920565597e-02,2.332852561841697032e-04,-2.794173078033487106e-02,-3.259090577022053480e-03,1.754708158443510357e-02,-6.367989659812278713e-02,9.738481841794285887e-02,-1.597198919737792891e-02,-3.129367776776984661e-02,2.216909130348475310e-01,-1.928110737944392361e-01,-2.612902879207152848e-02,-2.669593800307882431e-02,5.823297834886818208e-02,-1.564186060213354143e-02,-6.749761654959170187e-02,-1.319500739194500458e-03,1.710339385711758670e-02,6.331300913478729586e-02,1.338830517850383983e-01,1.346560442423376247e-01,-7.940486860251351475e-02,-7.365930814105692281e-02,-4.881309150092245919e-02,-4.108238920012191597e-02,8.562805418460293916e-02,-3.008400771144443750e-02,6.083542424531380999e-02
-4.459660851998532849e-02,5.912072927927364274e-02,-7.862131392704016508e-03,-2.317747127400392529e-02,1.470128572571474624e-03,-1.881360198110430468e-02,-4.424029440123856266e-02,9.999999999999998890e-01,3.174243020269739562e-02,-5.063279605624162322e-02,8.218948454506358123e-03,5.980361745453874334e-02,-1.532512266753740804e-01,-5.117487043260896558e-06,-3.784704667130204814e-01,-1.512788822865681129e-02,2.286929967654021192e-02,-3.000538947035912007e-02,3.568797555288764911e-02,-5.834455184415235363e-02,-4.042997801413934778e-02,3.237100529630617674e-01,-8.258214840534587597e-02,-1.101092862250301584e-02,-8.633175435059496639e-02,-4.476957940338601415e-03,9.508688320700695029e-02,-4.750928077190764987e-02,8.095573163200299460e-02,5.567872037645782944e-03,7.036111982847162438e-02,-9.539044416500094175e-04,3.300683529110689293e-03,8.289792437977126782e-02,-4.808420243895598911e-03,-1.037051152644887647e-01,2.148568910905294255e-02,-5.816493977316232467e-02,1.956421857379349316e-02,4.538896340377951422e-02,1.895831795151398380e-01,4.325381184218054370e-02,9.189819846927487212e-01,-8.765048722203475640e-01,5.110430453861850714e-02,-4.463972194488958350e-02
-5.059609196405406330e-03,1.090781062245635424e-02,-2.872555020939538458e-03,-1.054953562990285261e-02,3.436969013135479905e-03,-4.728209693720299665e-03,-2.573889176493135422e-02,3.174243020268532195e-02,1.000000000000000222e+00,-5.651732880411661220e-02,-2.151493014236140460e-03,-4.004272448360708669e-02,-7.044609117167523193e-02,3.235099576525896775e-02,-3.445357858667202205e-02,3.419673968307483051e-03,1.666590196296957246e-02,2.494677710323893721e-04,3.053282194905423876e-03,-1.711367274066486963e-02,-5.670740962379658238e-03,-1.103765862048750220e-02,2.018619216779729553e-01,3.151888066661964749e-02,3.409166770321486219e-03,1.251547525530643211e-02,-2.337947683853973738e-02,-2.184776923554017716e-02,5.337356149048111398e-02,2.459297146453513425e-04,2.614864108081082703e-02,1.746929167199683065e-03,-9.331780167261808159e-03,3.564439704406782705e-02,2.702719411338259103e-01,-3.244537089445218708e-02,3.750363305798024103e-03,-1.741122987203957626e-02,-8.036477880251921904e-03,3.518384405924509378e-02,4.506819882618245954e-02,2.669533134991403656e-01,3.254732910133580071e-02,-2.804260431065486864e-02,9.099880255722524458e-01,-8.197290926991924742e-01
7.604676298879640972e-02,-3.212032398331209904e-01,2.335413601851479143e-02,2.318494252205460793e-01,-6.926791211160800155e-02,3.084462268619725736e-02,1.441419284933555534e-01,-5.063279605615111229e-02,-5.651732880415885618e-02,1.000000000000000222e+00,-2.830979382844226941e-02,-6.032310881481348780e-03,3.499239506244514741e-01,1.695707806758349756e-01,-4.397112537569080465e-02,1.594205233593799231e-01,-3.195377702476044357e-01,-2.802710154382500804e-02,5.832895296392540119e-02,3.272675439414336057e-02,-4.059797805970661450e-02,8.258427605474312483e-02,1.043408733439555036e-01,-3.735516753049868133e-02,1.507659954571331784e-01,-1.104489206830697318e-01,-1.127840723710054199e-01,2.165077671769684853e-01,-5.657058509336940766e-01,-1.047335442113271758e-01,6.803264583691692735e-02,1.043419682307987484e-01,-7.075179234356182047e-03,-4.499518531534428545e-02,-1.722906943177256178e-02,-1.823960038575928588e-01,-1.752683202492710535e-01,5.032396395451883553e-01,1.264731135169409326e-01,-2.495225746208232509e-01,-1.046886459789483359e-01,-1.150511009200240464e-01,-3.435046634225109169e-02,1.173972069868748774e-01,-3.243917035388717979e-02,7.148613226424874179e-02
