O $a$ ,O $b$ ,O $c$ ,O O ,O Al ,O Ca ,O K ,O Mg ,O S ,O Si ,O Th ,O U ,Fe AlO1.5 ,Fe CaO ,Fe KO0.5 ,Fe MgO ,Fe Ssil ,Fe SiO2 ,Fe ThO2 ,Fe UO ,Al $a$ ,Al $b$ ,Al $c$ ,Al Al ,Al S ,Al Si ,Al CaO ,Al SiO2 ,Ca $a$ ,Ca $b$ ,Ca $c$ ,Ca Ca ,Ca S ,Ca Si ,Ca KO0.5 ,Ca MgO ,Ca Ssil ,Ca SiO2 ,Ca ThO2 ,Ca UO ,K $a$ ,K $b$ ,K $c$ ,K K ,K S ,K Si ,K SiO2 ,Mg $a$ ,Mg $b$ ,Mg $c$ ,Mg Mg ,Mg S ,Mg Si ,Mg SiO2 ,S $a$ ,S $b$ ,S $c$ ,S S ,S Si ,S Th ,S U ,S SiO2 ,Si $a$ ,Si $b$ ,Si $c$ ,Si Si ,Si Th ,Si U ,Si ThO2 ,Si UO ,Th $a$ ,Th $b$ ,Th $c$ ,Th Th ,U $a$ ,U $b$ ,U $c$ ,U U
1.000000000000000000e+00,-7.791763984292046086e-01,-7.296655703875776222e-01,1.344890101816471339e-01,1.108801687828365155e-02,-3.168085571937433349e-03,2.551150820879556982e-02,-2.790894385219004972e-02,3.283145217795398474e-01,6.056955717357144497e-02,-2.340616582193225798e-02,1.227797962997495378e-02,7.272273374194179740e-02,4.603165311383643904e-02,1.379625926488792578e-03,-8.640071125182274825e-02,7.882083590749207336e-02,1.341695745912352689e-01,-2.733287605618488561e-03,-1.062781484315484734e-02,-3.920225170931933983e-02,3.394202198366841339e-02,1.691053122939760456e-02,-4.938793539893031326e-02,-3.425095936489983006e-02,-1.792460794914675637e-02,2.449324710592850739e-03,9.516429012102395335e-03,-4.031171881453513711e-02,-3.150476572914599760e-02,2.791866480936948738e-02,-2.151275539711362816e-02,-1.767339433827786951e-02,6.483502401889452635e-03,3.108732165463139185e-02,3.351548382430696166e-02,3.008969311735919597e-02,4.240459613055744259e-02,6.832599535038220984e-02,6.002648652560502868e-02,-3.193326888779314532e-02,4.907740590140251269e-02,3.391683785324061534e-02,-5.647074039795612309e-03,9.185264329611407888e-03,2.930646871062262109e-03,-3.633987107294674168e-02,-4.874474860389967079e-02,7.750132880560274551e-02,4.082978056513617698e-02,4.565846057724717855e-02,-2.665709772141235459e-02,-4.421447188315787147e-02,-1.106692119081933989e-01,-5.190723296060176239e-02,2.925196476219492706e-02,1.510786869734584981e-01,-8.971602883061899347e-02,-4.172666326236523088e-02,1.718865287345668416e-02,-1.180279486835838880e-02,-4.940408273485258350e-02,-5.311710332370130072e-02,1.345614621009868783e-01,1.074058284505196442e-02,-4.557661143576884066e-02,-5.717679391463255378e-02,-3.936403652348091642e-02,-2.538391155414057576e-02,1.885172582604427785e-02,-2.994351518471108017e-02,3.938591728147717436e-02,2.202048381461126428e-02,2.812268242525443884e-02,-4.558619772802757070e-02,2.709033422874460029e-02,4.004292997258956238e-02,-2.023405749945976495e-02
-7.791763984292008338e-01,1.000000000000000000e+00,4.887751018255468982e-01,-3.835581045049535082e-03,-1.564659042710307424e-01,-4.582442784722388224e-02,-5.934114358230181685e-02,-1.273423805306867218e-01,-2.328021936028076555e-01,-1.826932142395510938e-01,2.163849352397022308e-02,-3.147154973634862241e-02,-2.488093313496950454e-01,-8.114149858532596071e-02,-2.285545488026352878e-01,-3.294629074254260548e-01,-4.209861966728987714e-01,-6.197046953432181482e-01,5.376544342448988378e-02,2.663652746890656821e-03,2.317374904694545490e-03,-1.307120219342550738e-01,-3.019132973141808347e-03,5.327970198166130655e-02,5.808412812803449843e-02,1.275091881097714652e-01,3.175054303520625371e-03,-4.207116440228136217e-02,4.181203055998528734e-02,3.260989689501660183e-02,-5.075182372956722754e-02,6.363426155293163897e-03,4.992849446119069362e-02,3.108570013952900030e-02,-5.245084567196525022e-02,-5.353992289177224306e-02,-3.431840144136023840e-02,-5.120203539100174478e-02,-5.324036259405697663e-02,-5.123754199582712665e-02,8.335982359087685395e-03,-1.363375251939043797e-01,2.050297809570670021e-03,2.789649922040301003e-02,-7.715672897470363459e-03,6.033449669356381884e-02,-1.755436777136456942e-03,9.859397133014475081e-03,-1.337773257068344268e-01,-4.046409429080496944e-02,3.658150148425834414e-02,5.205365297996106949e-02,8.894922713575702244e-02,-2.793239396189707568e-02,1.832884477053892472e-02,-1.299139815125304256e-02,-6.119822336008865632e-02,5.469710152710717532e-02,3.195182497623962059e-02,1.553481472672947616e-02,-1.945530854375664490e-02,-1.420465974105184458e-02,1.904426933770451136e-01,-6.125225198736565790e-01,9.914647470371094895e-02,1.685665138605841329e-01,9.166360561105973970e-02,5.571270673090329001e-02,3.862827189988075893e-02,-9.370229086903028928e-03,3.281928287050697030e-02,-1.202140408962808493e-01,-2.427599275953848390e-02,-3.373774201087576669e-02,7.035083342056631418e-03,-1.372876415217328117e-01,-1.153311356964823939e-02,2.084623995388094550e-02
-7.296655703875918331e-01,4.887751018254523072e-01,1.000000000000000000e+00,4.421519861055037137e-01,-4.357949291735319780e-02,7.774149461954156515e-03,-9.660980035933759008e-03,1.745832879509670935e-02,-2.288593602576565467e-01,-1.003909869656233605e-01,4.016355428734351186e-06,-1.018883403046865789e-02,-1.138879982606110508e-01,3.783405801895194445e-03,6.564716618909577361e-02,3.851892345860017525e-02,-2.723704399189041600e-02,-4.682335523282699780e-02,1.247514614328007997e-02,2.591821136718612875e-02,2.573341268031350410e-02,2.464458336594196192e-03,-3.886960427910419319e-02,4.799820463520526603e-02,4.298563474427044562e-02,1.296356518199242615e-02,4.067430183007607336e-02,-5.584045664169720591e-02,1.248861182816357260e-02,-8.239955070595368289e-03,-4.437686049670068467e-02,1.146646694175068246e-02,-2.255796356289955455e-03,-2.171223169931258898e-02,1.025844151989695717e-02,1.275978102978325181e-02,1.099502349406251099e-02,-3.223948872446463407e-04,-1.647568499047926890e-02,-1.044763230299941559e-02,1.543911550870600072e-02,-4.669313429794264697e-02,-3.043888478617741075e-02,-6.867428745403422220e-05,-4.447849248590234582e-03,-4.162574194580276332e-02,5.563829012660387319e-02,1.879530696294770889e-02,-2.430126612404325676e-02,-4.828234900868628304e-02,-3.972794234841646455e-02,1.716126903613320390e-02,2.484030556114017255e-02,5.348961373255877588e-02,4.215977975227781782e-02,-2.621958737921707000e-02,-1.318971946374132009e-01,7.198514155418685168e-02,2.185823435516891580e-02,-3.535363878514906355e-02,1.538252421998792530e-02,2.715954943485901496e-02,1.771666842525840280e-02,-5.170732326800246692e-02,-2.632503029648651863e-02,1.923046729549048733e-02,1.730055264279608054e-02,1.835670911261562399e-02,1.440644664627388841e-02,-8.494945194558421731e-03,1.913087982731651038e-02,-2.286153172806003331e-02,-2.066096344468944246e-02,-2.223727023057368163e-02,2.433685802847985330e-02,-1.443515119293599380e-02,-2.961048135606727388e-02,6.807662965958344477e-03
1.344890101816229866e-01,-3.835581045148332355e-03,4.421519861054790668e-01,1.000000000000000000e+00,-9.564198090124324814e-02,-5.923793399736773310e-03,1.296574370347554263e-03,-1.031669800122693992e-01,-2.420097572418214785e-02,-1.178979238524959922e-01,-1.180908430331410568e-02,-1.121370271701608787e-02,-8.040313213949765170e-02,3.953423102018623764e-02,-2.640583737934780462e-02,-2.142915779927352937e-01,-1.242846097603215738e-01,-1.599016546313249687e-01,2.339718345989776419e-02,1.766253118530653615e-02,-2.722853441170613314e-02,-2.460561998952852034e-02,-5.710198540693289283e-03,-7.441760796972911665e-03,3.129946431555966080e-02,5.451039500838803648e-02,3.188611597967770661e-02,-1.624141333293386419e-02,-1.437690687499781905e-02,-4.547175330389550268e-02,-7.052742269223087265e-03,-7.520269078531076172e-03,-8.177273880699140879e-03,9.303508504268769366e-03,2.772838746463109072e-02,3.045393095895367053e-02,4.629823845109978103e-02,4.842243157818804794e-02,6.879561832268459021e-02,6.019498991603061677e-02,-2.039025029150479812e-02,-4.923538763849422822e-02,1.480720594813554614e-02,3.830642255021132563e-04,-8.576834300525104562e-04,-5.875551248497196469e-03,2.629696382073807431e-02,-3.179432979526428810e-02,8.647983485549324417e-03,-1.433085012269996045e-02,6.020491700646076610e-02,1.750651033089902289e-02,5.008522869077266376e-03,-8.276975976638970001e-02,-9.710671642477561316e-03,2.875020112199058470e-03,-1.093547386254578938e-02,1.401717764202933467e-02,-7.144379525120194037e-03,-1.135420204918857973e-03,-8.971981657870005400e-03,-2.769994131749120916e-02,2.447827258498179101e-02,-1.648542569755313270e-01,5.934401356544025119e-02,4.338338620838833037e-02,-3.372172616979485834e-03,-1.085733229516241613e-02,4.013686950595831034e-03,1.386070791433844165e-02,-3.646766850899086612e-04,-3.220844991900414372e-02,-2.275220443217948127e-03,-1.965694835051452066e-03,-2.863207825215574945e-02,-4.487584525144390490e-02,1.421776566972422252e-02,-1.113118073696626499e-02
1.108801687831506740e-02,-1.564659042711412373e-01,-4.357949291734553032e-02,-9.564198090122143225e-02,1.000000000000000222e+00,3.103433666077280023e-02,5.708527355117196112e-02,8.614496488065472024e-02,6.140117849318353985e-03,8.459262980811710353e-02,-2.804910674308509506e-03,3.320040067166299402e-02,4.545585983018566312e-01,-3.400030077219266117e-02,5.605772872917337557e-02,2.785142843746413743e-01,2.108400440136359577e-01,1.924619025499373914e-01,-1.564693380637976680e-02,1.006856163120530868e-02,3.448770650064245658e-01,-3.744960448238331407e-01,6.026745746455069996e-01,-1.006775556343964678e-01,-1.442884204845784057e-01,1.459557710066094194e-01,-5.485012402655720792e-02,3.591215159923224487e-01,1.531380944540817893e-03,4.770189564843729801e-02,7.166192757527771462e-02,1.736491438057302661e-02,6.200428454983967835e-04,3.504366717064465175e-02,-6.144330344616159151e-02,-4.389390212014356030e-02,-2.220059647462116134e-02,-3.062352831769625527e-02,-2.080673389678622601e-02,-1.806220175021699265e-02,1.455008305046138865e-02,7.154683610965723028e-02,2.231079571477625687e-02,-3.945611833268637680e-02,2.033028734675239573e-03,2.338133064120694049e-02,3.590352939838253876e-02,4.798605710282480979e-02,-4.511475485164732901e-02,1.150841577354178857e-01,-6.285619043321441154e-03,-1.227759538757506111e-02,-2.132286763387606504e-02,1.860152382283248584e-01,-4.983330220065465208e-03,-1.914729034319559778e-02,2.721266697797619996e-02,2.736893773565714574e-02,-2.565726911968693735e-02,3.572717582923248727e-03,1.417896897587777455e-02,1.494426453932190813e-01,-6.464553629315751559e-02,1.537938707806894012e-01,2.895656559262261859e-03,-7.485461102486185014e-02,-2.204609935512578944e-02,-5.148306138076925997e-02,-8.513705515118933503e-03,-1.613299735246039729e-02,-1.001202992273651955e-02,4.880856961099020591e-02,1.306564364325118674e-02,1.166104828591349105e-02,-1.538678079336991758e-03,8.678716236640050818e-02,1.642565819351870376e-02,-2.847846876539798788e-02
-3.168085571926172392e-03,-4.582442784723703838e-02,7.774149461952832921e-03,-5.923793399735750691e-03,3.103433666076549358e-02,1.000000000000000000e+00,-2.828894219945521371e-02,1.528974354937925016e-02,2.208250051952044199e-02,3.229450821278220807e-02,1.069298772907786681e-02,5.842720819912442659e-03,5.326294867867639726e-02,-9.428623870833641868e-03,6.706566594634018330e-02,6.688486952986424927e-02,5.109227645096456327e-02,6.979333152861247336e-02,-1.578834823715515381e-02,4.881356589105188132e-04,6.696166345716336558e-03,2.794972584638226454e-03,5.843060947868511726e-03,-3.970563367175024630e-03,-6.864768973493665279e-03,-8.211864731712157153e-03,-2.145474603746133982e-02,4.595432274783062959e-02,1.458788945937526393e-01,2.150669272956015274e-02,3.613791832648743929e-01,-1.211688635346051951e-01,-1.369288602526876064e-01,1.783718842870282428e-01,-1.537411524069380864e-01,-1.433628670371186187e-01,-4.193437832768404094e-02,1.372275293740893125e-02,-2.099682268172501417e-03,-1.300943899818085212e-02,1.886091496298214487e-02,8.500969179161923291e-04,-2.448360216777433276e-02,1.645200859309110461e-02,-2.831043936797265903e-02,1.427805662720086667e-02,8.407734010741435560e-02,-2.885288397174743183e-02,6.578754511194732923e-02,-1.745457158141841157e-03,1.157535536031898543e-02,-2.611364844516844350e-02,-4.194300458460611947e-02,8.003786083331956847e-02,-2.397785026481507112e-02,1.325292408104605975e-02,2.966929934859640836e-02,-7.776952174637093151e-03,-1.409990187628945048e-02,2.247347639450834964e-03,3.665702246856166434e-03,4.779199934885271228e-02,-1.456970626607377410e-02,2.274018124762651125e-02,-1.467911380537930723e-03,-2.336332901067153869e-02,1.046772889997226244e-02,-3.425863453584971578e-03,-1.734691298903240017e-02,-7.287070479127927963e-03,6.032354235047290847e-03,1.157943037892190247e-02,2.577437534571413931e-05,7.388500256526280138e-04,5.481589025946201170e-03,2.105801179890680330e-02,-8.148265885532562014e-04,9.124877505757325548e-04
2.551150820880111053e-02,-5.934114358231926817e-02,-9.660980035937618768e-03,1.296574370342234951e-03,5.708527355117959390e-02,-2.828894219945077282e-02,1.000000000000000000e+00,2.272407704570036241e-02,3.658567054417540682e-02,2.733763357885011028e-02,-8.583447786954662151e-03,9.709597197909805230e-03,1.283121169535568762e-01,-2.058615383197503340e-02,1.234170215687372535e-01,6.002654617224955497e-02,5.036096727294513131e-03,6.131648571034369749e-02,1.922258359028792413e-02,7.738773903687227486e-03,2.368879380125614095e-02,-5.107526989984335908e-02,4.022936988119395207e-02,-2.725976630771486525e-02,2.602624364779728122e-03,3.056843075878362247e-03,-2.764474978133154084e-02,1.212149353859419409e-01,1.285613629393711661e-02,1.814176020174460002e-02,2.330814519439118517e-03,-1.281839713732179677e-02,1.785427222999513494e-02,-1.639840756591247339e-02,2.135864813093563824e-02,-1.335148416555045382e-02,-1.925892391851945912e-02,-2.432968515100506282e-02,-7.240416361686790279e-03,-7.717534784567682375e-03,-9.393465236755020598e-02,-1.243506709506275038e-03,6.114834555127753868e-01,-1.339607827090209258e-01,-1.956026198775088210e-01,-9.423778324188462896e-02,8.040435380917430874e-02,4.047858714381869297e-03,-1.209152163393263126e-03,3.384430885575259035e-02,-8.212181615863213546e-03,4.552109717821879557e-03,2.895665071432640576e-03,3.783288883376674516e-02,-6.104932877163787332e-03,2.808062754048757173e-02,2.966843237185650198e-02,5.630098505628837458e-03,2.551716258872078688e-02,-6.556293052255104253e-03,2.659649382922085140e-03,-4.692476537606376195e-03,-2.090235461419920251e-03,4.034646336133577982e-02,-1.963498015071353867e-02,-1.279681367212118530e-03,-2.186909313411642460e-03,-8.865619988341399971e-03,2.183233179625170689e-02,-7.543091422404142078e-04,3.783396956039776059e-03,-2.532600722781979535e-03,-3.274714850334197336e-03,-3.308215501854192084e-03,2.449314651919166615e-04,1.686880311369439930e-02,7.472104674636990615e-03,-4.272337667395105509e-03
-2.790894385217640786e-02,-1.273423805306971579e-01,1.745832879508289748e-02,-1.031669800122694686e-01,8.614496488067746593e-02,1.528974354939326326e-02,2.272407704569200104e-02,1.000000000000000222e+00,3.924591054840930252e-03,7.466036788062457852e-02,5.318310341905041309e-03,1.102519857882990756e-02,1.171410610182462425e-01,5.765272168754098474e-03,1.419871399602060658e-01,3.977186377805824180e-01,1.586635750167819103e-01,1.842880459497187318e-01,-1.420641491645735846e-02,-6.959222260271024502e-03,5.658459604735089493e-02,9.555895195178257251e-03,-6.843758909014519172e-03,2.838023974566902113e-02,-1.960781035677784320e-02,-6.418192525929412862e-02,-2.528595893669202677e-02,8.688972945317278984e-02,9.682392284981711575e-03,1.573204818890807733e-03,3.354565056140492579e-02,6.448480853084318822e-03,-9.323285885762628775e-03,8.374174778513989890e-04,7.243812038386457722e-03,7.741534076975050901e-03,-1.095377729982616177e-02,5.304503031710109708e-03,-4.936524769452849126e-02,-3.908769775224795601e-02,5.677070136841791403e-02,-1.197978318101558699e-02,-5.190107312165115339e-02,-1.282288031333419891e-02,1.179720455243939321e-02,-4.401642541392612740e-02,1.181705625758351086e-01,-7.768270501402338435e-02,6.672271258036720221e-02,4.578256502249887783e-01,-4.792418211105426429e-01,-1.405151673460834083e-01,2.135266819599652699e-01,3.073694967894832208e-01,5.715579110137636309e-02,-2.415647144341492164e-02,-7.665522153623885449e-02,1.492160943300612636e-02,1.419995070417318789e-02,-1.332812462768492509e-02,2.464302947193619184e-02,1.371381951048931125e-01,-4.081848303621488788e-02,1.147907809174702198e-01,-9.845902551264355471e-03,-5.049243660144708823e-02,1.961111164289370407e-02,2.788983887176666593e-02,2.531229602628566958e-02,-1.989364890316271117e-02,1.943648268062164730e-02,1.811479064691195323e-02,-1.859043601069624782e-02,-2.503634678585894488e-02,6.036908953042485065e-02,5.916853169564164489e-02,-3.987427629273355284e-02,1.722523060575004150e-02
3.283145217795376825e-01,-2.328021936028007721e-01,-2.288593602576481922e-01,-2.420097572417060500e-02,6.140117849287593001e-03,2.208250051951206328e-02,3.658567054416884956e-02,3.924591054837020185e-03,1.000000000000000222e+00,1.656650353411321386e-01,-7.879719720064011978e-04,8.544626541686004256e-04,4.774831661039807829e-02,7.719222488346436095e-02,-4.077037197191411139e-02,2.069886267639999000e-02,7.210349806857555000e-02,7.796582415350912509e-02,-3.456285564263671117e-02,-1.427584839695971233e-02,-9.165266099037857814e-03,6.662234458495058277e-03,8.310826383953648713e-03,-1.778652788778843641e-02,-9.144287017134931916e-02,-2.256832642726068136e-02,3.079594085906888282e-02,2.582327949068577086e-02,3.388522497021493121e-03,-6.964201856515178646e-02,9.987883980236136536e-03,7.680822073165355845e-04,-3.148354129048763772e-02,-1.925843631276120266e-02,5.535505787827074003e-02,5.056605450031374793e-02,5.347204879857653942e-02,7.598941411562841475e-02,6.769437051510297787e-02,6.575396565165735063e-02,-5.501809286184226357e-03,5.125459717114814323e-02,2.391164576912380851e-02,1.373699759635030500e-02,4.962776925613544138e-02,3.217196733343970910e-02,-4.853030702311611488e-02,-1.484455572124127390e-02,3.566090348431227852e-02,1.320813248628593950e-02,1.752609947535175780e-02,-2.156769240187144179e-02,-3.654066549506358036e-02,-8.063556370238251017e-03,8.242168008954540992e-02,-8.276166376689214621e-02,3.025842244285139593e-01,-6.750545333937015349e-03,-5.058650342728802929e-02,4.619818176001784515e-02,-4.263902797464455552e-03,2.703818335401341443e-03,6.961467793580607133e-02,2.681657811911579425e-02,-2.152150686664784651e-02,-2.958085209292131770e-02,-1.028767074564277025e-02,-8.839214166044858170e-03,-3.086313977283293083e-02,5.272458411426952479e-05,-1.763663654746124715e-02,3.489859726361049796e-02,1.962997236217223565e-02,2.099107402161190863e-02,-5.579267884039512335e-03,2.019729541230895487e-02,4.677198529926492043e-03,-1.514424286087656278e-03
6.056955717357968144e-02,-1.826932142395316372e-01,-1.003909869656471887e-01,-1.178979238525206946e-01,8.459262980810029753e-02,3.229450821276368816e-02,2.733763357884103073e-02,7.466036788062462015e-02,1.656650353411333876e-01,1.000000000000000000e+00,-1.986946935295723360e-02,-6.932659143880423071e-03,1.462700833483036311e-01,4.478398092611907133e-02,1.238368020005582715e-01,2.423724426695533507e-01,3.277257000802598630e-01,2.549352199512723849e-01,-5.497345877036080575e-02,-1.914150475768093551e-02,6.388124315617705815e-03,6.091475743938850468e-02,-1.843228586052306868e-03,-1.888084056128845958e-02,-4.420960827088899620e-02,-1.010014516067487544e-01,-2.329290107307533438e-03,2.641247560831993732e-02,-2.491217788934524911e-03,-2.459233318236147062e-02,3.036126895843049844e-02,5.733056996086114895e-03,-2.870731497223665343e-02,-1.631325401780032297e-02,2.858755486914521873e-02,2.632884078002034958e-02,2.141247920772142155e-02,3.334841585443242690e-02,5.486736032716940138e-03,1.044462327996122271e-02,1.115002925990227732e-02,4.433208432851605540e-02,-1.974622347058349256e-02,-2.393863613798693016e-02,7.230060518997402305e-03,-7.784713630973577603e-02,3.775273773015472983e-02,1.327720913453385616e-02,4.784133676179323780e-02,7.994337162197162616e-03,-2.984403083069990872e-02,-2.904092926201948255e-02,-5.689500273946992287e-02,4.455606664165363828e-02,7.063512986125318645e-03,-4.523001569454319221e-02,1.679921739563417296e-02,-1.252164688482763216e-02,-6.878654630689846894e-02,6.383342327005275471e-03,6.767905661236136433e-03,8.882957876686876919e-02,2.129442332078303884e-02,2.369282967438278986e-01,1.220013462932273418e-01,-1.354234398589215516e-01,-5.735113893668199181e-02,-3.139742006813814323e-02,-3.068230987311818675e-02,-1.493031240746212811e-03,-1.187453580909231775e-02,6.654645232091588314e-02,4.165770390258982311e-03,7.093124244348274383e-03,2.549345645579791184e-03,8.192462709313809432e-02,-1.356718222266611699e-02,-7.144489287947928050e-03
-2.340616582193584538e-02,2.163849352395653611e-02,4.016355443618520015e-06,-1.180908430331950934e-02,-2.804910674330697486e-03,1.069298772904815099e-02,-8.583447786955111444e-03,5.318310341909585418e-03,-7.879719720110140444e-04,-1.986946935294816100e-02,1.000000000000000000e+00,3.422661513473918699e-02,2.020233955122643574e-02,3.480174666159448205e-02,8.600622524815313211e-03,3.557955542075708771e-02,-1.026438217827303767e-02,-1.374735412877266206e-03,-5.064228672046240387e-01,8.697415545053963082e-02,4.258794253211207852e-03,-8.806167706894635003e-03,6.661422744901221394e-04,-2.891927801182159110e-03,-7.761152327907154883e-04,3.612879811230707700e-02,1.671100650806351187e-02,2.715068707202407047e-02,-9.726413301395995777e-04,-2.815114272451227362e-02,-9.361486464030892296e-03,-8.191479519074618132e-03,-1.103383314413227366e-02,-1.381472622480360915e-02,2.520761081934341785e-02,2.375995810657928128e-02,1.091688517316096417e-02,3.024105739524955358e-02,1.028788686613624076e-01,-1.230125257497683908e-02,7.593267116607540362e-03,-1.273079869815624265e-02,-1.285503320458643815e-02,-4.172645467277281972e-03,1.648853637156513785e-04,5.271352490052451725e-03,3.099837153907689102e-02,3.716724656870328556e-04,-1.702439700485251003e-03,-3.852978323307317942e-03,-1.106228396807018349e-03,-7.424336963289877682e-04,8.460186059402617989e-03,4.908995166628813550e-02,1.170176206864656336e-02,1.294122693618631088e-02,1.538040368536032270e-03,1.535792284380507007e-03,2.832126819308294560e-02,2.581078436852339217e-02,3.321069687019971572e-02,-5.071986839095479413e-03,1.119200676853271230e-02,-2.473521431786601318e-02,4.955215043799171548e-03,-1.310748773476046528e-02,1.019414098454618778e-01,-1.042874282583484274e-02,-3.749605246127952762e-01,-1.540423656796407331e-02,-1.252623766153683482e-01,2.210834272506903841e-01,3.976014676384452828e-01,1.985524707382070875e-01,5.719842385248476158e-02,-3.636959825041118782e-02,-2.169052523514310160e-02,6.498494664509058515e-03
