O $a$ ,O $b$ ,O $c$ ,O O ,O Al ,O Ca ,O K ,O Mg ,O S ,O Si ,O Th ,O U ,Fe AlO1.5 ,Fe CaO ,Fe KO0.5 ,Fe MgO ,Fe Ssil ,Fe SiO2 ,Fe ThO2 ,Fe UO ,Al $a$ ,Al $b$ ,Al $c$ ,Al Al ,Al S ,Al Si ,Al CaO ,Al SiO2 ,Ca $a$ ,Ca $b$ ,Ca $c$ ,Ca Ca ,Ca S ,Ca Si ,Ca KO0.5 ,Ca MgO ,Ca Ssil ,Ca SiO2 ,Ca ThO2 ,Ca UO ,K $a$ ,K $b$ ,K $c$ ,K K ,K S ,K Si ,K SiO2 ,Mg $a$ ,Mg $b$ ,Mg $c$ ,Mg Mg ,Mg S ,Mg Si ,Mg SiO2 ,S $a$ ,S $b$ ,S $c$ ,S S ,S Si ,S Th ,S U ,S SiO2 ,Si $a$ ,Si $b$ ,Si $c$ ,Si Si ,Si Th ,Si U ,Si ThO2 ,Si UO ,Th $a$ ,Th $b$ ,Th $c$ ,Th Th ,U $a$ ,U $b$ ,U $c$ ,U U
1.111154295474915676e-01,-2.371562250830780840e+02,-3.182361427487886640e+00,5.281254566809494289e-02,1.879595924165634521e-02,-7.968383495652254372e-03,4.207616440085727716e-02,-3.691046943166787636e-02,2.170036247715201871e-01,2.237480400301751493e-02,-2.249883192393586917e-01,5.474485223570865755e-02,1.172877679676611478e+03,6.854612805025492889e+03,1.340159469151847205e+01,-5.707843506419886808e+02,6.376040926395645556e+02,6.902056166472835912e+02,-1.380539075791640187e+02,-3.967287215994256826e+02,-1.038964065875878397e-02,4.188503614025212585e+01,1.620934879474556223e-01,-6.537454260548409835e-01,-4.589700612739130298e-02,-4.935008193085277384e-02,6.019810384658908333e+02,2.382016809207261758e+02,-2.012317164210962808e-02,-2.116791820504368502e+02,4.854508526128609169e-01,-5.236745707676700334e+00,-2.658040776712381967e-02,1.557102419402517715e-02,4.729138885034104533e+03,4.254506023376287885e+03,4.079831223695832705e+03,7.181086674939800105e+03,1.272112094950264509e+04,9.733924056858371841e+03,-6.561686744866400064e-03,2.459690731699014776e+01,3.469554177539079243e-01,-2.439589849693883372e-01,9.009166931078036594e-03,1.249555751580164274e-03,-5.603170872792517230e+02,-1.088419057393684268e-02,6.313251235717719112e+01,2.692633696427543799e-01,5.123547306926250489e-01,-2.459566893877090932e-02,-5.066095082314632514e-02,-1.266470190385422484e+03,-7.844471204969659731e-03,1.113242149098122091e+01,7.845367125819486809e-01,-3.370189107708908283e-02,-1.154942203615104933e-02,1.117560797190223276e+01,-8.764475088412163745e-03,-4.734141372331463344e+02,-6.367692806111682931e-03,6.889117428897546347e+01,4.691720437617094563e-02,-3.251833219402956287e-03,-3.020260418079109138e-02,-1.477386751806406863e-02,-1.452170019595399026e+03,5.767355577305636416e+02,-4.592826336993038883e-02,1.340900969412685129e+02,2.283558968887624996e+00,6.458888095020085984e+01,-1.989535732613743543e-02,2.673661498428680616e+01,9.937299831024563046e-01,-4.242795859896719701e-01
-2.371562250830769472e+02,8.337255483346355613e+05,5.839277203132854083e+03,-4.125777837110789825e+00,-7.265319220915563392e+02,-3.157146574929129201e+02,-2.680898000329208912e+02,-4.613212936689735670e+02,-4.214910276308747825e+02,-1.848636944891422331e+02,5.697457391155761570e+02,-3.843783151536931655e+02,-1.099192002128569037e+07,-3.309739025044725090e+07,-6.081481243260337971e+06,-5.961913034256474115e+06,-9.328295312094504014e+06,-8.732399644898608327e+06,7.438596029360684566e+06,2.723652142989860731e+05,1.682326105341891864e+00,-4.418359883067232440e+05,-7.927110796553313321e+01,1.931852432786349254e+03,2.132030738531120164e+02,9.616212753632726162e+02,2.137528803423555568e+06,-2.884560896981154568e+06,5.717296889117098857e+01,6.001719444573571673e+05,-2.417278263152647924e+03,4.243076140546058014e+03,2.056906318189110152e+02,2.044996302384998614e+02,-2.185624885027019680e+07,-1.861683121420948207e+07,-1.274605708909927309e+07,-2.375137918479766697e+07,-2.715218534818655998e+07,-2.275923641834032908e+07,4.691948889272716805e+00,-1.871710524300178222e+05,5.745127036422792344e+01,3.301166372197538294e+03,-2.072961103574541397e+01,7.046642051448323230e+01,-7.414127455326501513e+04,6.030357132830891587e+00,-2.985044458359493874e+05,-7.309613681859445933e+02,1.124437661174664527e+03,1.315592404549182106e+02,2.791743050686138190e+02,-8.755897799578263657e+05,7.587439797368521255e+00,-1.354299950710670055e+04,-8.705089773238726139e+02,5.628243937056712554e+01,2.422515883921860791e+01,2.766685322356983670e+04,-3.957341639426409330e+01,-3.728495195748842671e+05,6.253690814207146076e+01,-8.589923992411233485e+05,1.186331122760654353e+03,3.294442303493620017e+01,1.326312608485219471e+02,5.727606892632633162e+01,6.053249439582562074e+06,-7.852359821025584824e+05,1.378893419948221037e+02,-1.121076648251922568e+06,-6.895833134281055209e+03,-2.122469219278574164e+05,8.410309742862313698e+00,-3.711486399872051552e+05,-7.839953466599120020e+02,1.197350388205370564e+03
-3.182361427487948813e+00,5.839277203131723581e+03,1.711894219698423854e+02,6.815114594037526174e+00,-2.899639897819701329e+00,7.674984155194536362e-01,-6.254210173535896811e-01,9.062752360288820475e-01,-5.937407453074297514e+00,-1.455629481924579194e+00,1.515350549357846700e-03,-1.783167521353792306e+00,-7.209609844473868725e+04,2.211365652045481329e+04,2.503008898682840663e+04,9.988037370972080680e+03,-8.648112090777009143e+03,-9.454493229377309035e+03,2.473206001684658622e+04,3.797571579811947595e+04,2.676937163435372802e-01,1.193696560804633151e+02,-1.462411905523335065e+01,2.493814024241978800e+01,2.260925431354694481e+00,1.400921970294645158e+00,3.923808764218167635e+05,-5.486192582862651761e+04,2.446980793632547724e-01,-2.173091513804894930e+03,-3.028715469699272589e+01,1.095585680869791645e+02,-1.331658422239839490e-01,-2.046742682153432025e+00,6.125357300859309908e+04,6.357672451444002945e+04,5.851562912323416094e+04,-2.142972812438779783e+03,-1.204021307165134494e+05,-6.649885800745707820e+04,1.245219204053380907e-01,-9.185508656429907433e+02,-1.222188894280043492e+01,-1.164498077428153255e-01,-1.712356996280703092e-01,-6.966351956123408851e-01,3.367251363424997544e+04,1.647285984677946957e-01,-7.770055180835214514e+02,-1.249798213527071944e+01,-1.749833939526905624e+01,6.215076125562317699e-01,1.117164447621519008e+00,2.402641058725128460e+04,2.500837115516223452e-01,-3.916622642816947746e+02,-2.688418690854310356e+01,1.061398256323583755e+00,2.374722955662487145e-01,-9.022247074608593493e+02,4.483528526904577149e-01,1.021532577993698760e+04,8.336448195698034636e-02,-1.039073393632366333e+03,-4.513614194556804016e+00,5.385516318293031429e-02,3.587036913535818217e-01,2.704211641931445476e-01,3.234946284560896311e+04,-1.020087609561166573e+04,1.151763903224332974e+00,-3.055007938997233850e+03,-8.409830092164797577e+01,-2.004627894237752344e+03,4.169021744761729487e-01,-5.591967954297316510e+02,-2.884292439126857488e+01,5.602972374093033281e+00
5.281254566808545742e-02,-4.125777837217062149e+00,6.815114594037146034e+00,1.387797943731005734e+00,-5.729742618915212304e-01,-5.265615729004326229e-02,7.557416833977247464e-03,-4.821951295975183127e-01,-5.653087489084093753e-02,-1.539171218096641591e-01,-4.011639066393253295e-01,-1.767019543606974386e-01,-4.582805521327811221e+03,2.080537686706066597e+04,-9.065066858239149497e+02,-5.003060766600407987e+03,-3.553066597436621123e+03,-2.907055607195270113e+03,4.176407694722152883e+03,2.330121354518007593e+03,-2.550290864496016982e-02,-1.073078347131254304e+02,-1.934351793880648984e-01,-3.481283833092794766e-01,1.482260230909185073e-01,5.303877400840797396e-01,2.769580573772506978e+04,-1.436714793489474232e+03,-2.536334389707942463e-02,-1.079740842366880543e+03,-4.333956741900417686e-01,-6.469560244275939453e+00,-4.346364553887931831e-02,7.896419230108009391e-02,1.490731096530656578e+04,1.366227250969340639e+04,2.218527627517793007e+04,2.898009245311306586e+04,4.526641786691423476e+04,3.449699857683049049e+04,-1.480712038504421874e-02,-8.720717181753251168e+01,5.353124822375031622e-01,5.848451138616883593e-02,-2.973006989415691564e-03,-8.853534836131722596e-03,1.432953272357404785e+03,-2.508961009917987789e-02,2.489629436607098611e+01,-3.340012711190546990e-01,2.387576979873774263e+00,5.708490651710350361e-02,2.028123936536304489e-02,-3.347462993246339465e+03,-5.186340174661653417e-03,3.866797433695268627e+00,-2.006890197000020248e-01,1.860890167440956006e-02,-6.988549517440781345e-03,-2.608926662195424573e+00,-2.354536156549510637e-02,-9.380655058820074146e+02,1.037061286244154654e-02,-2.982764678425841112e+02,9.161300470162887510e-01,1.093920126197792282e-02,-6.295211478631880866e-03,-1.440103278596777808e-02,8.114809932136319048e+02,1.498604250160010679e+03,-1.976792912375812273e-03,-3.875265835678220014e+02,-8.338439665241376142e-01,-1.595486188909613645e+01,-4.416184215186824691e-02,-1.565238911226227287e+02,1.246952278851437113e+00,-8.248715522447412907e-01
1.879595924170959775e-02,-7.265319220920694079e+02,-2.899639897819191070e+00,-5.729742618913905572e-01,2.586109222181450207e+01,1.190836225331058706e+00,1.436350210196493338e+00,1.738090203449606630e+00,6.191414062085159875e-02,4.767312426478451104e-01,-4.113248763397430174e-01,2.258374446047963335e+00,1.118429591828156845e+05,-7.724055075082051917e+04,8.307433557032025419e+03,2.806974457006509692e+04,2.601952743564133561e+04,1.510446919225363308e+04,-1.205671135579816291e+04,5.733942622562994984e+03,1.394408671520798171e+00,-7.050252418071506327e+03,8.813074341436934844e+01,-2.033090454820025883e+01,-2.949710151300113825e+00,6.130497656200914136e+00,-2.056602259031491121e+05,1.371350540412658302e+05,1.166231052721174513e-02,4.889605025596447376e+03,1.900970406665295442e+01,6.448732156806455862e+01,1.422655079280428156e-02,1.283965330543868522e+00,-1.425967297237536695e+05,-8.500492475989776722e+04,-4.592247947472877422e+04,-7.911679959532528301e+04,-5.909892407225161878e+04,-4.468399199458520161e+04,4.561144533841534482e-02,5.470481905574525854e+02,3.481846529826337022e+00,-2.600422649230848293e+01,3.042094766886903334e-02,1.520889343273278127e-01,8.445470984400088128e+03,1.634630566498144477e-01,-5.606589665572464583e+02,1.157849255865030891e+01,-1.076053311756273390e+00,-1.728205322777335851e-01,-3.727269128577527235e-01,3.247528149680476781e+04,-1.148925075634336934e-02,-1.111675844566838123e+02,2.155844455622255573e+00,1.568477948063082827e-01,-1.083411074913336464e-01,3.543759592679217008e+01,1.606282584761520860e-01,2.184686756201910976e+04,-1.182285899158852377e-01,1.201207858192522735e+03,1.929690125659773992e-01,-8.147812666839296392e-02,-1.776612030706034573e-01,-2.947780792707266895e-01,-7.430427334073036945e+03,-7.529686981156748516e+03,-2.342802222932912903e-01,2.535058976767713830e+03,2.067056892083904884e+01,4.085778868493483174e+02,-1.024477411426863611e-02,1.306723779504361346e+03,6.218728176446697731e+00,-9.110076790404047387e+00
-7.968383495623931542e-03,-3.157146574930035854e+02,7.674984155193229629e-01,-5.265615729003417234e-02,1.190836225330778264e+00,5.693407613668937728e+01,-1.056125847108243088e+00,4.577257258135967177e-01,3.303878738734766785e-01,2.700427181173066793e-01,2.326632104284891422e+00,5.896991049764221948e-01,1.944494348099195849e+04,-3.178144368858536836e+04,1.474668242372627356e+04,1.000187858415088886e+04,9.355441065237830117e+03,8.127132307467868486e+03,-1.805090675381655092e+04,4.124669468483191963e+02,4.017119047139774274e-02,7.807242885167750046e+01,1.267791066829849100e+00,-1.189703878757805144e+00,-2.082267386537483833e-01,-5.117748664599391928e-01,-1.193599917395797820e+05,2.603731119413526176e+04,1.648376951814536362e+00,3.270954316323301100e+03,1.422370412584924679e+02,-6.676601180126841655e+02,-4.661606587006335900e+00,9.696898677949956635e+00,-5.294047675569792045e+05,-4.119450431484282599e+05,-1.287044615844743093e+05,5.260383852492477308e+04,-8.848954245129169067e+03,-4.775320806316220842e+04,8.772711080046946552e-02,9.644202071449523572e+00,-5.669341087844953719e+00,1.608833932975385039e+01,-6.285481304259908919e-01,1.378034850075604001e-01,2.934461409388948960e+04,-1.458332269683379201e-01,1.213071944376451029e+03,-2.605603796144195239e-01,2.940239939004806402e+00,-5.453964188493929388e-01,-1.087845918388805622e+00,2.073302071677637650e+04,-8.202476460917189349e-02,1.141682288675285406e+02,3.487516846586188546e+00,-6.612909985876809504e-02,-8.834086328102226660e-02,3.307489925324222924e+01,6.161652357669929886e-02,1.036650916470990160e+04,-3.953643176143516874e-02,2.635334613360021194e+02,-1.451453304906623054e-01,-3.773287610436956707e-02,1.251630138799666170e-01,-2.910473017579769811e-02,-2.246363711541799785e+04,-5.046351959018878915e+03,2.094416412074884548e-01,8.923636893160366981e+02,6.050238254154320650e-02,3.841105753976705017e+01,5.415315945049206658e-02,4.704444807479637802e+02,-4.577271699135144756e-01,4.331069510101323017e-01
4.207616440086641568e-02,-2.680898000329997330e+02,-6.254210173538394812e-01,7.557416833946242751e-03,1.436350210196685406e+00,-1.056125847108077220e+00,2.448080240397163365e+01,4.460854512496399971e-01,3.589331368421377899e-01,1.498964676893415615e-01,-1.224664427121469723e+00,6.426037157753585749e-01,3.071679045907595355e+04,-4.550165669379415340e+04,1.779491152031640740e+04,5.886047124840978540e+03,6.046857889820098535e+02,4.681956147044471436e+03,1.441122070539623383e+04,4.287927771831768041e+03,9.318759454009425958e-02,-9.355295156231254623e+02,5.723704266974077193e+00,-5.355938232369978458e+00,5.176649341063082471e-02,1.249214442870847513e-01,-1.008497325308926520e+05,4.503525056114285690e+04,9.525794823272980272e-02,1.809284888123567725e+03,6.015669634597876625e-01,-4.631533486025021773e+01,3.985744570675711085e-01,-5.845677055896071339e-01,4.822787897130574856e+04,-2.515699909930155627e+04,-3.875985074070703558e+04,-6.115604135801363009e+04,-2.000914794584945412e+04,-1.857587435042193829e+04,-2.864993146510170230e-01,-9.250659125319913301e+00,9.284716957507735913e+01,-8.590068988449974086e+01,-2.847693750673578439e+00,-5.964071589343713509e-01,1.840160440620933878e+04,1.341588378451514553e-02,-1.462010596534150153e+01,3.312924355655692654e+00,-1.367834869313110380e+00,6.234248871787406721e-02,4.924734949253360000e-02,6.426334072223163275e+03,-1.369437851243670082e-02,1.586233246053262746e+02,2.286811190016261097e+00,3.139249702551828725e-02,1.048345933236970173e-01,-6.327225526127324429e+01,2.931507970860465148e-02,-6.674306272652308962e+02,-3.719363042379770102e-03,3.066013068430614226e+02,-1.273093741014564850e+00,-1.355232214520864882e-03,-1.714671799557158580e-02,-4.938889682403290599e-02,1.853893078147345295e+04,-3.425315848786374318e+02,8.613601811469734360e-02,-1.279817682557173555e+02,-5.040626323329867375e+00,-1.127769770761093895e+02,1.586677245908170442e-03,2.471166271747980261e+02,2.752397360700522544e+00,-1.329720506269728819e+00
-3.691046943164983524e-02,-4.613212936690114248e+02,9.062752360281650654e-01,-4.821951295975186458e-01,1.738090203450065596e+00,4.577257258140162710e-01,4.460854512494758506e-01,1.574120460285622869e+01,3.087472531883007909e-02,3.282666505665848278e-01,6.084643912502754048e-01,5.851060611276932555e-01,2.248658350162051283e+04,1.021828397054175912e+04,1.641632496912788702e+04,3.127249129214310233e+04,1.527633214817620319e+04,1.128374878394992629e+04,-8.540428547640560282e+03,-3.092019096314130820e+03,1.784923187000566625e-01,1.403538594122047698e+02,-7.807910308588306147e-01,4.471318937355850842e+00,-3.127321364992010633e-01,-2.103210543281477385e+00,-7.396864674113434739e+04,2.588636388042685576e+04,5.752804122307118156e-02,1.258110999600737472e+02,6.942543977542253053e+00,1.868334605819939753e+01,-1.668946711035396435e-01,2.393763945928279249e-02,1.311588897423768503e+04,1.169667644833069426e+04,-1.767747139769827118e+04,1.069187164725235016e+04,-1.093937556096111512e+05,-7.544264708993282693e+04,1.388443374168208677e-01,-7.146273951066096686e+01,-6.319263326788358448e+00,-6.593419705017316446e+00,1.377221780012517494e-01,-2.233771339225742447e-01,2.168660577900297721e+04,-2.064545409101053997e-01,6.469182675400456901e+02,3.593619974977224274e+01,-6.400825577016101420e+01,-1.543123825889544776e+00,2.912009874060585091e+00,4.186592759699666931e+04,1.028082181762555031e-01,-1.094208019617522325e+02,-4.737875124481484512e+00,6.671626028116575680e-02,4.678053975027084838e-02,-1.031407202865242141e+02,2.178045486690425581e-01,1.564114740906232146e+04,-5.824201319112889963e-02,6.994903022582734593e+02,-5.119076351989221285e-01,-4.287897118384723094e-02,1.232987293129039624e-01,1.245868990880938248e-01,1.723543538549947334e+04,-7.243890206865496111e+03,3.548352154515276857e-01,7.340419102361702244e+02,-2.294598720663320535e+01,-6.843901859069292186e+02,3.135918714409546837e-01,6.950477603223026790e+02,-1.177788086463924877e+01,4.298985681222845301e+00
2.170036247715187439e-01,-4.214910276308623338e+02,-5.937407453074080799e+00,-5.653087489081397993e-02,6.191414062054141632e-02,3.303878738733513343e-01,3.589331368420735080e-01,3.087472531879931550e-02,3.931691393886936225e+00,3.640308794296651107e-01,-4.505499958883946859e-02,2.266271782579779709e-02,4.580818836113255202e+03,6.837580319746813620e+04,-2.355821234728443414e+03,8.133992156757627754e+02,3.469516208708958402e+03,2.385784685959565195e+03,-1.038425909045611115e+04,-3.169962442467624896e+03,-1.444897763902300118e-02,4.890391440851151827e+01,4.738654585063643010e-01,-1.400494784262474202e+00,-7.288933568057159862e-01,-3.696069198451289450e-01,4.502279485397122335e+04,3.844897189077923485e+03,1.006185408689498108e-02,-2.783400948852530746e+03,1.033062599133814263e+00,1.112181526492047157e+00,-2.816616854266505432e-01,-2.751256308252947314e-01,5.009087258103118074e+04,3.818257770648346195e+04,4.312745092837681295e+04,7.654782576164437342e+04,7.497120565800020995e+04,6.342631882669944753e+04,-6.724812402270331779e-03,1.528038358197093203e+02,1.455024522493335359e+00,3.530105495807628113e+00,2.895477908669493172e-01,8.159664305573217924e-02,-4.451086658423215340e+03,-1.971687271845918091e-02,1.727980319347781801e+02,5.181364834333718195e-01,1.169869138596380198e+00,-1.183728167124588337e-01,-2.490507611692707457e-01,-5.489051522448328342e+02,7.409344432004930092e-02,-1.873554532599260654e+02,9.346712358195222947e+00,-1.508431569928462765e-02,-8.328825868960373913e-02,1.786720939404444266e+02,-1.883436027688526956e-02,1.541197931544684252e+02,4.964220514206024032e-02,8.166740878133693116e+01,-5.592158588000072372e-01,-1.255450045191088340e-02,-3.232541983754168985e-02,-1.973380157099800108e-02,-1.050271431556610878e+04,9.594918762882674201e+00,-1.609146307868886683e-01,7.067506840209897518e+02,1.210898074586368445e+01,2.867729631555940273e+02,-1.448432010157768395e-02,1.185735446130880035e+02,6.904478422813197236e-01,-1.888944719558931506e-01
2.237480400302055764e-02,-1.848636944891225369e+02,-1.455629481924924695e+00,-1.539171218096964111e-01,4.767312426477504639e-01,2.700427181171518032e-01,1.498964676892917680e-01,3.282666505665850498e-01,3.640308794296678863e-01,1.228104472173057626e+00,-6.349600979079517149e-01,-1.027653483982840649e-01,7.842752428772210806e+03,2.217070605293469634e+04,3.999220333898580975e+03,5.323146899275642681e+03,8.813553219262486891e+03,4.359982604563370842e+03,-9.230960780544923182e+03,-2.375506431726397295e+03,5.628508742893295440e-03,2.499045566802292626e+02,-5.873784184844872691e-02,-8.308824550522787566e-01,-1.969512562276159451e-01,-9.244774022476902609e-01,-1.903226612381757150e+03,2.197912455728647728e+03,-4.134350417479515545e-03,-5.493284601473742441e+02,1.755096557283433834e+00,4.639617493278141325e+00,-1.435372817130534939e-01,-1.302502524946242690e-01,1.445793422450316029e+04,1.111132522740947388e+04,9.652101159005724185e+03,1.877512847880874688e+04,3.396127239558537894e+03,5.630776399446140204e+03,7.616905967580415299e-03,7.386650111968363319e+01,-6.715414709520605152e-01,-3.438137261593183780e+00,2.357574250707463598e-02,-1.103482015843095798e-01,1.935215827471973398e+03,9.856110643342805636e-03,1.295620172676283914e+02,1.752722504555867811e-01,-1.113364674034419188e+00,-8.908134288914451582e-02,-2.167272342982467237e-01,1.695139606834459073e+03,3.548844860781961118e-03,-5.722579168380762837e+01,2.900210974119127316e-01,-1.563781794771500547e-02,-6.329662745193456730e-02,1.379773898076328997e+01,1.670805206162495615e-02,2.829869815557780839e+03,8.486802106192441880e-03,4.032647805896589261e+02,1.771737477026207097e+00,-3.212258916029702566e-02,-1.007156848699367752e-01,-3.917590242537348499e-02,-5.835491542313170612e+03,-1.518535607457133096e+02,-6.055142315854673135e-02,7.532014017572513467e+02,1.436187606648440251e+00,5.415880289251885671e+01,3.698942390358159193e-03,2.688047902572585599e+02,-1.119341680783798143e+00,-4.980475610522944740e-01
