O $a$ ,O $b$ ,O O ,O Al ,O Mg ,O S ,O Si ,O Th ,O U ,Fe CaO ,Fe KO0.5 ,Fe Ssil ,Fe SiO2 ,Fe ThO2 ,Al $a$ ,Al $b$ ,Al Al ,Al SiO2 ,Ca $a$ ,Ca $b$ ,Ca Ssil ,Ca SiO2 ,Ca ThO2 ,Ca UO ,K $a$ ,K $b$ ,K K ,K SiO2 ,Mg $a$ ,Mg $b$ ,Mg SiO2 ,S $a$ ,S $b$ ,S $c$ ,S S ,S Si ,S U ,S SiO2 ,Si $a$ ,Si $b$ ,Si $c$ ,Si Si ,Si Th ,Si U ,Th $a$ ,Th $b$ ,U $a$ ,U $b$
1.000000000000000000e+00,-8.161242081082223931e-01,7.541545485169638408e-01,1.754735172052810364e-04,2.095390817441521863e-02,2.412399901495035914e-01,-1.074204141548204018e-02,-4.488189938049179373e-02,-3.560659053501954909e-03,3.389876500372941692e-02,9.775175450301476499e-02,1.305441587898940603e-01,2.094771171070998195e-01,2.355475025815934736e-02,-1.071784296915690750e-02,7.055339188296069763e-02,-5.100109722728123247e-03,-6.314360578581110217e-02,-1.311734716026832261e-02,1.466820021741190895e-02,-3.099525330644469986e-02,-4.402894372057227119e-03,2.173158775258339503e-02,2.357917812998290910e-02,-9.359624253459400411e-02,8.854233670807563905e-02,7.538990665317085900e-03,1.555444516861956977e-02,-2.233617096813094588e-02,6.514442066850055502e-02,-5.511319179984830452e-02,-2.049438061376158277e-02,1.143906654844363199e-02,7.103032694569501315e-02,-5.160262781219874390e-02,-3.349250870729036239e-02,2.301085082722687013e-04,-1.930267086791774556e-02,-6.364016850739590003e-02,1.708572745972631035e-01,-1.385460852215327117e-02,-5.344570483899971358e-02,-6.928887443219350351e-02,-2.014934768382106722e-02,-4.811464795787836340e-02,8.577507256032404492e-02,-1.225885327538647242e-02,5.236562308497945406e-02
-8.161242081082258348e-01,1.000000000000000000e+00,-4.353527787646228053e-01,-8.450512918713856680e-02,-4.322711372402305435e-02,-1.322919324148077447e-01,-3.358794514550290239e-02,5.485582770188978524e-02,4.003933971739246679e-03,-3.510794473739928950e-02,-1.964139436556016083e-01,-3.325897555498222857e-01,-5.971474288480023151e-01,-6.138154461080301376e-03,3.045948836901140114e-02,-2.491773520096788874e-01,2.220669500289849246e-02,3.139390847164219567e-01,7.045879848212754926e-02,-1.120071886919979387e-01,8.259022369892431159e-02,1.033064814500450623e-01,-2.707397627793104930e-02,-3.148389359819879496e-02,1.598469196644058399e-01,-2.845600413430259823e-01,-2.790798372470848585e-03,1.076750913298664125e-01,8.333085804705644972e-02,-2.392150847257163704e-01,3.991034165006527856e-01,5.346030118431466943e-02,-3.775805777247093209e-02,-5.438680837847106875e-02,4.538552582692115950e-02,2.460079765265799773e-02,-1.342159595589472376e-03,1.543226101346709678e-01,1.643822593778856145e-01,-6.131862177199002284e-01,1.171759414491507501e-01,1.251614643570951313e-01,1.396284250058847654e-01,5.227036968029689923e-02,7.659442923042089624e-02,-2.076564494177400022e-01,2.861335631968821985e-02,-1.407544786016014515e-01
7.541545485169736107e-01,-4.353527787646287450e-01,1.000000000000000000e+00,-5.741874813051753290e-02,-1.730405389766010230e-02,9.486851899963505419e-02,-2.728339773608915234e-02,-8.462717737387430439e-03,-1.666061537043273932e-03,6.496682703476111542e-02,2.277909176546220188e-02,-2.568704945750275789e-02,-4.484454408383261453e-02,3.310294918224876426e-03,-1.402867427004939743e-02,-1.029073451094553865e-02,9.463774070736957408e-03,3.692400949742637162e-02,3.069804856716226715e-02,-6.472643700703142877e-02,2.953034053280145441e-02,7.596727032674291391e-02,3.731466500681527437e-02,3.111265157062951398e-02,-2.444735855441639016e-02,-4.276585952785254968e-02,1.650551542004556269e-02,7.681295290611366011e-02,1.874671002775097923e-03,-2.672425083261183859e-02,1.185609852112583656e-01,9.430172734645841243e-03,-3.598352206296738347e-03,-3.373649491313696265e-04,-1.168358354081518863e-02,-1.131553524357108674e-02,-9.939720768044316059e-04,4.057969726751573664e-02,-9.426790476533997154e-03,-8.354357128453908377e-02,6.950862713392157166e-02,3.399103279308611503e-03,6.006283655077948765e-03,4.660660111001746486e-03,1.276544869466109686e-03,-1.773477014650647401e-02,2.103417393303529288e-03,-1.006985872878131752e-02
1.754735172026127877e-04,-8.450512918713630472e-02,-5.741874813051785209e-02,9.999999999999998890e-01,3.962866102752332469e-03,-1.220249763131074118e-02,2.541068323684384997e-02,-2.328135757437718029e-02,-2.563795946694738016e-03,1.122304815612683478e-02,2.116578856127222796e-02,6.347221326217823700e-02,8.792183221832415574e-02,3.353236133088685622e-02,4.089541837648443257e-01,-1.061007015181388569e-01,-4.005750620183274324e-01,-1.417904522835614911e-01,-5.572459736566001860e-03,7.998744569443230756e-03,-5.021701773813399584e-03,-5.226247196167484003e-03,1.290366543981599258e-02,1.477200082212987674e-02,-1.707552554124108779e-02,5.337534904285357734e-02,5.716225873350511827e-03,-3.991694899121828871e-02,-1.970666806144698649e-02,5.542686110688548051e-02,-1.285025221172558796e-01,-5.150180271656469751e-03,4.882734832351440929e-03,-1.296851493311879967e-02,-1.758608086472354280e-03,1.070604787072686930e-03,1.710023263736299044e-03,-5.313776284393359473e-02,-3.988614177983970666e-02,1.398068322154389642e-01,-7.325746482032998970e-04,-3.494485814017726788e-02,-4.172461595295094694e-02,-1.100664185955136862e-02,-2.798607004692751227e-02,4.915144930000549250e-02,-8.223777117146256060e-03,2.427207456296828422e-02
2.095390817441690132e-02,-4.322711372402261720e-02,-1.730405389765850288e-02,3.962866102751284696e-03,1.000000000000000222e+00,7.920758460193553369e-03,4.411156818040664999e-03,-9.583844287588981492e-03,-9.305245205375121389e-04,3.666506201792266162e-02,-1.280714566629927859e-02,2.835502404221446754e-02,3.012251740837967526e-02,5.523323583971361840e-03,-7.542419624499668417e-04,1.967075769822537387e-02,-1.620583793080913751e-03,-3.027582133817203688e-02,1.002360600459777096e-02,-2.111939952811516669e-02,1.790889653444602964e-02,2.383616989223897795e-02,1.692360314255848125e-02,1.949462237175206281e-02,2.262067956835983260e-03,3.382716396258897418e-02,9.791960228809975034e-03,-3.140689118313520767e-02,2.184003106332033095e-01,1.453442806502440454e-02,-4.320533375544748783e-02,-6.166288404806491950e-03,-1.039334887866452282e-03,2.130429565272895856e-03,-2.809444443688767067e-03,-5.022129926339901664e-03,6.007442528149418938e-04,-7.484314082667212209e-03,-3.324348535767524069e-03,4.068051041242554122e-02,-7.807526048368744302e-03,-1.125639839623446617e-02,-1.290261897139543222e-02,-5.275787792426610105e-03,-9.278066031916639214e-03,1.725643692071051824e-02,-4.121825075747765667e-03,9.810942210176009856e-03
2.412399901495129173e-01,-1.322919324148205122e-01,9.486851899963913426e-02,-1.220249763132137330e-02,7.920758460194153583e-03,1.000000000000000000e+00,1.387828900911214081e-01,-2.109178716968958603e-02,-1.478878408658484750e-03,5.992073660133693386e-02,-3.256062788331660907e-02,5.390923569310877156e-02,5.114272766186277186e-02,-1.534856358167433800e-02,9.637903163853954458e-03,1.154572303936431815e-02,-1.359613464621642126e-03,-8.878361572298645518e-03,1.675381102471760683e-02,-3.236477934933273265e-02,-6.737111439881601251e-03,3.466350131835978232e-02,1.663313976490128632e-02,2.177668046877289862e-02,-5.660577839525428312e-02,8.282419592865462865e-02,2.872709769595289606e-03,-3.830129051887334879e-02,-1.033073599181172364e-02,2.709181734651860615e-02,-2.725702583383184108e-02,8.865795471164267250e-02,-8.555840183395380105e-02,2.968769155176367303e-01,4.181167876392542261e-03,-4.678957069840512101e-02,1.228449874700490371e-03,-6.927246545728894984e-03,8.456139332799608721e-02,-3.428565981110316425e-03,-2.370247381273051651e-02,-2.245268231442386700e-02,-1.375114118563980532e-02,-8.167124669215344163e-03,-1.336820170499419987e-02,2.684447734952504980e-02,-7.417294590146483388e-03,1.874616512872519236e-02
-1.074204141550082030e-02,-3.358794514549471449e-02,-2.728339773610693672e-02,2.541068323684077604e-02,4.411156818041669404e-03,1.387828900911183827e-01,1.000000000000000222e+00,-4.684464695907086806e-02,-2.261669448056020243e-02,2.511145236457290250e-02,3.984352491277986380e-02,2.301754180137295658e-01,1.321320578918230293e-01,-3.111340651920033173e-02,-1.311460954223688750e-03,8.235340716545987150e-02,-1.110526728921122121e-02,-1.499609699768478521e-01,-1.351242063617384692e-02,2.129218989221805247e-02,-1.391455083982396333e-02,-2.235663630489275258e-02,-2.212464375459728683e-02,9.932666269843730845e-04,-6.517054135920016811e-02,9.693025475975322602e-02,2.649125965771639748e-03,-4.131186908429080457e-02,-3.376160931516445501e-02,9.103879119238074413e-02,-2.087400129558579787e-01,-2.034616428433650565e-02,-2.739593560477588882e-02,3.687476343484787783e-02,-1.983884787947791037e-02,-6.487526786371437815e-02,1.274133630156105241e-03,-7.443305917624483230e-03,6.849278825223772960e-02,1.418117138914227193e-01,1.392676795203580120e-01,-9.008243968645210376e-02,-7.708936670657060009e-02,-4.197861613275868237e-02,-4.839170313472540563e-02,9.249937187824901208e-02,-3.266857374703003442e-02,6.126837365019662668e-02
-4.488189938049354927e-02,5.485582770192425073e-02,-8.462717737375087881e-03,-2.328135757439168951e-02,-9.583844287593028602e-03,-2.109178716968453798e-02,-4.684464695908681364e-02,9.999999999999998890e-01,3.059928825303628516e-02,1.128048805821071400e-02,6.110597502816824539e-02,-1.521914734745841991e-01,1.071815584824641066e-02,-3.807257633412013398e-01,-2.858338036718039918e-02,8.959656082898680846e-03,7.483875732257113528e-03,4.589425912099883570e-02,-3.014734430304660123e-02,3.492275702293723416e-02,-5.046547433925333698e-02,-3.757752494173241531e-02,3.303690872400735778e-01,-7.356600727712624133e-02,-1.076694631182870121e-02,-8.437355912206456754e-02,-1.094436948441686493e-02,9.803353931540512156e-02,-1.114497967155620752e-02,-4.261944822696044251e-03,7.926469565953533913e-02,2.541482364591436758e-03,7.140631312114384399e-02,3.567145143534109809e-03,5.231002777389009289e-03,8.171508692847428978e-02,-5.801866865508324006e-03,-9.308515995746111105e-02,1.686793870675783180e-02,-5.252823489512037369e-02,1.899185216587259348e-02,4.557519684136210336e-02,1.890527155266779058e-01,4.011012176367841769e-02,9.192213714073554920e-01,-8.748843729662384439e-01,5.161452609379903189e-02,-4.316739873468534994e-02
-3.560659053509009162e-03,4.003933971784365969e-03,-1.666061537032345391e-03,-2.563795946668152945e-03,-9.305245205393294786e-04,-1.478878408658563246e-03,-2.261669448057755660e-02,3.059928825302920749e-02,1.000000000000000222e+00,-4.080110748611020903e-03,-4.212999972202763344e-02,-6.107246494931221209e-02,3.857133376268340186e-02,-3.685611160527897667e-02,2.744459005891731421e-03,-9.998060029177366706e-03,1.521539066287135966e-04,3.106753945263667285e-02,-1.175876745369925465e-03,5.927077755196990226e-03,-1.271644660170524049e-02,-7.508831920317847637e-03,-5.224229031124899905e-03,2.077874426650903328e-01,3.123411399858946891e-02,8.314901035523701578e-03,5.838571640783099190e-03,-2.520597988437616246e-02,2.942541069859846113e-03,-8.117561056343980397e-03,4.223612739075871536e-02,-3.951702191343813703e-03,2.728163761179127483e-02,8.656436225301192625e-03,-8.998560530143782238e-03,3.181231168797107878e-02,2.693170479408069085e-01,-2.912906974879871450e-02,-2.030162056178643620e-03,-7.073340265362431691e-03,-3.853437140675685865e-03,2.962393911921915035e-02,4.254492429550212063e-02,2.636492040708018902e-01,3.271822033014168407e-02,-2.601369425885284581e-02,9.103661797612485618e-01,-8.190888651077563587e-01
3.389876500371680895e-02,-3.510794473737335192e-02,6.496682703474437881e-02,1.122304815616267763e-02,3.666506201792078812e-02,5.992073660134199925e-02,2.511145236457471355e-02,1.128048805819225654e-02,-4.080110748654407204e-03,9.999999999999997780e-01,9.519909995358996624e-02,-1.564973811670261616e-02,3.714664973692791833e-02,2.831262827729995953e-04,-9.395232467046295277e-02,1.477004545966408566e-01,-1.721597121062472605e-02,1.064396046879021035e-01,3.606298045587666978e-01,-7.772460607727345039e-01,5.177037201106146069e-01,9.039835716330513193e-01,5.168378274534090044e-01,5.052442926399822731e-01,8.996168058405371037e-02,-6.708978949124141944e-02,5.337645359001955830e-02,1.551641453922936453e-01,-1.141314744675871601e-01,1.815156047476702283e-01,1.485544646646043410e-01,-1.351234496630044843e-02,2.065662119886490025e-02,2.866256578719227066e-02,-3.232984243058515533e-02,2.536151266046430923e-03,-1.575513634175904022e-03,5.693331256392557271e-02,-6.099482297685229586e-03,-7.445907190415507193e-02,1.662417448958205049e-02,1.153648397002505002e-02,4.180392033655588521e-03,4.606963668183482012e-03,1.714593461995994952e-02,-1.994661844382586424e-02,9.629686460881763674e-04,5.731358153702781170e-03
