O $a$ ,O $b$ ,O O ,O Al ,O Mg ,O S ,O Si ,O Th ,O U ,Fe CaO ,Fe KO0.5 ,Fe Ssil ,Fe SiO2 ,Fe ThO2 ,Al $a$ ,Al $b$ ,Al Al ,Al SiO2 ,Ca $a$ ,Ca $b$ ,Ca Ssil ,Ca SiO2 ,Ca ThO2 ,Ca UO ,K $a$ ,K $b$ ,K K ,K SiO2 ,Mg $a$ ,Mg $b$ ,Mg SiO2 ,S $a$ ,S $b$ ,S $c$ ,S S ,S Si ,S U ,S SiO2 ,Si $a$ ,Si $b$ ,Si $c$ ,Si Si ,Si Th ,Si U ,Th $a$ ,Th $b$ ,U $a$ ,U $b$
5.077923274690313016e-02,-1.306256652889106533e+02,1.719906721275863692e-01,1.460450120275944984e-04,1.238854052982300141e-02,1.036535655538569634e-01,-2.560620192207380651e-03,-1.912440210551474007e-01,-4.193749988708865735e-03,7.813437053745626599e+02,5.286437662801528177e+02,5.853330066048250728e+02,6.101626567529892782e+02,6.176505476365598497e+02,-1.515570514383256413e-03,3.880813454753508296e+01,-3.735044711483773150e-02,-5.445562287097093304e+02,-2.624961742794536691e-03,1.954653974674273087e+01,-8.064168957246765785e+02,-1.625049705569491039e+02,1.271810676097947862e+03,1.077169547250794494e+03,-4.635664093357299599e-03,1.474054225078773328e+01,1.625114355601121607e-01,1.372901072350522043e+02,-2.543531175331636279e-03,3.005252540605156852e+01,-2.676321520238786320e+02,-2.045275337345108489e-03,2.890580900700361333e+00,2.341910672333417098e-01,-1.300768051946413380e-02,-6.181316949635539543e-03,1.054218031241548596e-04,-1.122831751238999090e+02,-5.076806549478490166e-03,5.395981487618489325e+01,-4.046226623591942656e-02,-2.503264679212090487e-03,-2.174378648817378371e-02,-4.412977408005546234e-03,-1.622418871353446465e-02,6.370368644902099931e+01,-1.861386227782874407e-03,1.799576879155760523e+01
-1.306256652889111933e+02,5.044967533609366510e+05,-3.129478558399149506e+02,-2.216890989440809676e+02,-8.055592127708736427e+01,-1.791655160140363421e+02,-2.523642887030497661e+01,7.367591389809582552e+02,1.486432435685166809e+01,-2.550643535155005287e+06,-3.348088972800616175e+06,-4.700462138726823963e+06,-5.482475799041476101e+06,-5.073273319632909843e+05,1.357617671688055161e+01,-4.320157266577670234e+05,5.126091262515310518e+02,8.533847147722754627e+06,4.444248342817127195e+01,-4.704625682340171188e+05,6.772970615251507610e+06,1.201827323076813668e+07,-4.994237290072154254e+06,-4.533461795138495974e+06,2.495421639883487330e+01,-1.493215593519567337e+05,-1.896205066934037404e+02,2.995615639627387747e+06,2.991026867142413792e+01,-3.478391248763066833e+05,6.108777246575074270e+06,1.681645717849758270e+01,-3.007393864816323912e+04,-5.652052746417449498e+02,3.606048267594412948e+01,1.431095589441860660e+01,-1.938152939830335875e+00,2.829521252168358304e+06,4.133332663637493454e+01,-6.104013451079763472e+05,1.078649922645296101e+03,1.847781943498419466e+01,1.381120680259667495e+02,3.608381150564824225e+01,8.140835544181791761e+01,-4.861105152772546280e+05,1.369435471590579034e+01,-1.524658124039674003e+05
1.719906721275886174e-01,-3.129478558399192138e+02,1.024242855635074001e+00,-2.146284412817325848e-01,-4.594744569259722605e-02,1.830692781108798628e-01,-2.920890000823896451e-02,-1.619514716927855369e-01,-8.812955732969238176e-03,6.725247972893745100e+03,5.532652109409480090e+02,-5.172710781487069198e+02,-5.866472692739370132e+02,3.898427110606660335e+02,-8.909304318650642165e-03,-2.542199612929583097e+01,3.112712815139331290e-01,1.430146770886872673e+03,2.758964667890812655e-02,-3.873764037939406535e+02,3.450573541632832985e+03,1.259253911684890772e+04,9.807740351226184430e+03,6.383381980379239394e+03,-5.438058700161087916e-03,-3.197555492136854483e+01,1.597931713686165267e+00,3.044931908154193479e+03,9.587641929351890628e-04,-5.536912883416019326e+01,2.585728527377434148e+03,4.226637834335069017e-03,-4.083726199490470776e+00,-4.995568006314275201e-03,-1.322703540739456757e-02,-9.379222526847979732e-03,-2.045174417174793272e-03,1.060143089258969212e+03,-3.377392641967421824e-03,-1.184972897263234017e+02,9.117023196008594565e-01,7.150175926679345605e-04,8.465174427195158377e-03,4.584337150025883170e-03,1.933215041630366319e-03,-5.915445254925674590e+01,1.434400785573105436e-03,-1.554196445870131349e+01
1.460450120253737271e-04,-2.216890989440750275e+02,-2.146284412817337783e-01,1.364156386730288162e+01,3.840197152779351031e-02,-8.593551596729730180e-02,9.928044128903104615e-02,-1.625975333375832443e+00,-4.949309532046848592e-02,4.239924086651789366e+03,1.876126080416125887e+03,4.664641005805707209e+03,4.197539376586294566e+03,1.441177513285397799e+04,9.478343119435208575e-01,-9.565598282494961495e+02,-4.808273990367326434e+01,-2.004238278380562406e+04,-1.827733692982720995e-02,1.747044225133272448e+02,-2.141432348974381512e+03,-3.161603060496128819e+03,1.237750515258876112e+04,1.106072869422299300e+04,-1.386170451126394511e-02,1.456438738527493513e+02,2.019617454944129253e+00,-5.774721870372450212e+03,-3.678159467703488034e-02,4.190955451117816892e+02,-1.022782733359603662e+04,-8.424195325462693895e-03,2.022305182679174251e+01,-7.008188450633473510e-01,-7.265844889479390785e-03,3.238556870210083320e-03,1.284070281552627917e-02,-5.066284319821400459e+03,-5.215192408189474327e-02,7.236930218840552698e+02,-3.506685703642521690e-02,-2.682663852917135244e-02,-2.146115194795674141e-01,-3.951068523156719275e-02,-1.546737470071063159e-01,5.983135138545294467e+02,-2.046666088376874332e-02,1.367162192498059028e+02
1.238854052982399714e-02,-8.055592127708655426e+01,-4.594744569259297945e-02,3.840197152778335871e-02,6.883734072606138454e+00,3.962512896772813625e-02,1.224277352823819470e-02,-4.754724552087005729e-01,-1.276053675769754647e-02,9.839649766746382738e+03,-8.064173787325418061e+02,1.480282364884098115e+03,1.021572691848996897e+03,1.686295919159230834e+03,-1.241790758678902032e-03,1.259780650939125479e+02,-1.381836792380938539e-01,-3.040032735999240685e+03,2.335446528178425005e-02,-3.276752192627524778e+02,5.425031083107493941e+03,1.024315701434767834e+04,1.153168620479747187e+04,1.036905565536449467e+04,1.304452194028120175e-03,6.556877111564408267e+01,2.457589467085062651e+00,-3.227592107165206016e+03,2.895680000455053693e-01,7.806757129701172460e+01,-2.442806474247613551e+03,-7.164894374695365657e-03,-3.057870033430218903e+00,8.178293032680339358e-02,-8.245508941001187045e-03,-1.079170966885307191e-02,3.204471126461220804e-03,-5.068952938178238696e+02,-3.087698021627373335e-03,1.495864807558519374e+02,-2.654840054821540618e-01,-6.138501881828573037e-03,-4.714314109492887678e-02,-1.345324362584434524e-02,-3.642605263424186779e-02,1.492188107087776814e+02,-7.286939792983309315e-03,3.925579905527025915e+01
1.036535655538609740e-01,-1.791655160140536509e+02,1.830692781108877454e-01,-8.593551596737217246e-02,3.962512896773113386e-02,3.635664110280962369e+00,2.799258978696599343e-01,-7.604642954652692799e-01,-1.473850467796266814e-02,1.168649275453370501e+04,-1.489978955842446567e+03,2.045302523601730400e+03,1.260496756081211288e+03,-3.405499914585773695e+03,1.153188028822625839e-02,5.373717288382734836e+01,-8.425206451078055825e-02,-6.478806190057142658e+02,2.836869690884558787e-02,-3.649341596214830474e+02,-1.483156463793717421e+03,1.082554127239525587e+04,8.236715290765669124e+03,8.417747443620017293e+03,-2.372264559678132281e-02,1.166725039011553378e+02,5.239758631129096678e-01,-2.860532829752560247e+03,-9.954246981250643167e-03,1.057525126511923332e+02,-1.119979305394588209e+03,7.486580546008542170e-02,-1.829388796783424880e+02,8.282315123550244351e+00,8.918143533141112758e-03,-7.306867020280703728e-02,4.762160326904562105e-03,-3.409625916973503195e+02,5.707950965641463148e-02,-9.162168982783130744e+00,-5.857312959026420573e-01,-8.898381133534249976e-03,-3.651398381574539470e-02,-1.513521893595765749e-02,-3.814235252104767465e-02,1.686969509200946504e+02,-9.529738564894646088e-03,5.451115408166694465e+01
-2.560620192211857538e-03,-2.523642887029882331e+01,-2.920890000825800137e-02,9.928044128901904186e-02,1.224277352824098240e-02,2.799258978696538280e-01,1.119001200031033427e+00,-9.370199075848274495e-01,-1.250470602305285006e-01,2.717079100355992978e+03,1.011506123269325940e+03,4.844809663815738531e+03,1.806714141267585546e+03,-3.829870586105048005e+03,-8.705552351173835319e-04,2.126467014647290057e+02,-3.817838122849354643e-01,-6.071049881667678164e+03,-1.269352756987869590e-02,1.331942869418596160e+02,-1.699439972943315979e+03,-3.873531155147516984e+03,-6.078263226438525635e+03,2.130067941891264240e+02,-1.515224842822082522e-02,7.575198957253580545e+01,2.680683489108367512e-01,-1.711716247963668138e+03,-1.804777585725228159e-02,1.971525679123222687e+02,-4.758396615096230562e+03,-9.531730173334616169e-03,-3.249771964744434172e+01,5.707264021207553162e-01,-2.347559993131558345e-02,-5.620626241844687426e-02,2.740216964932605786e-03,-2.032522477327470654e+02,2.564934913224902260e-02,2.102428771450083502e+02,1.909318993426136313e+00,-1.980643491146750687e-02,-1.135633918171788381e-01,-4.315896682667662992e-02,-7.660000409019619705e-02,3.224886717337670916e+02,-2.328568576295948420e-02,9.883998945702420258e+01
-1.912440210551548947e-01,7.367591389814210743e+02,-1.619514716925493369e-01,-1.625975333376845633e+00,-4.754724552089013567e-01,-7.604642954650873143e-01,-9.370199075851464166e-01,3.575585297936327152e+02,3.024224134838426448e+00,2.181808531808206681e+04,2.773018306891150132e+04,-5.726198466262932925e+04,2.619748544920398217e+03,-8.377358425127987284e+05,-3.391664224413334372e-01,4.135487510372819315e+02,4.599105342583198031e+00,3.321254982884156925e+04,-5.062400852941529861e-01,3.905099321368625624e+03,-1.101765812579401972e+05,-1.163823329435827764e+05,1.622411126368125901e+06,-2.820090811312945443e+05,-4.474830570505546057e-02,-1.178689335560258542e+03,-1.979666216433533421e+01,7.260890818977971503e+04,-1.064971840854686824e-01,-1.649840930476560743e+02,3.229929355328188103e+04,2.128308544682029971e-02,1.514124742433518350e+03,9.869105620764025977e-01,1.106479821555779175e-01,1.265511467928620126e+00,-2.230468149943595491e-01,-4.543685184310589102e+04,1.129150451493792090e-01,-1.392067480273363572e+03,4.654293535293814621e+00,1.791236869594349523e-01,4.978346174642178212e+00,7.371488592829104070e-01,2.600975694100543834e+01,-5.452361398900333006e+04,6.576413278140660346e-01,-1.244831336249162632e+03
-4.193749988717174193e-03,1.486432435701916965e+01,-8.812955732911430251e-03,-4.949309531995527145e-02,-1.276053675772246751e-02,-1.473850467796345050e-02,-1.250470602306244516e-01,3.024224134837727007e+00,2.731858227434137021e+01,-2.181304043429706780e+03,-5.284647475542756183e+03,-6.351510651636441253e+03,2.605911749860691543e+03,-2.241608953706853572e+04,9.001430179721124636e-03,-1.275576827832623366e+02,2.584552774340269712e-02,6.214500416077485170e+03,-5.457890002130136309e-03,1.831975636479315312e+02,-7.673901347467385676e+03,-6.428161468257261731e+03,-7.091518302128452888e+03,2.201713032160768635e+05,3.588134773895281654e-02,3.210743239236298763e+01,2.919196610158559135e+00,-5.160292468207168895e+03,7.772073237897521997e-03,-8.685909939298747418e+01,4.757215503021740005e+03,-9.147179535311304038e-03,1.599009299197002463e+02,6.619903478526230067e-01,-5.261227691630457337e-02,1.361803901799412408e-01,2.861854960809651960e+00,-3.930157060364989320e+03,-3.756436156612964067e-03,-5.181404982894518696e+01,-2.610298867281333202e-01,3.218272250852553806e-02,3.096744928695098764e-01,1.339316407589728142e+00,2.558947411290768414e-01,-4.481170972230638654e+02,3.206186461333912163e+00,-6.528917228340324982e+03
7.813437053742719627e+02,-2.550643535153120756e+06,6.725247972892013422e+03,4.239924086665330833e+03,9.839649766745878878e+03,1.168649275453469272e+04,2.717079100356188974e+03,2.181808531804636732e+04,-2.181304043452902079e+03,1.046237659077237511e+10,2.336918160789058208e+08,-3.185112318221363425e+07,4.911348971531311423e+07,3.369896951872200239e+06,-6.030431586654513012e+03,3.687727387732557952e+07,-5.722949585069859313e+04,4.166666215606055856e+08,3.275749541930154373e+04,-4.701362015218921304e+08,6.113892819910479546e+09,1.514471229957207108e+10,1.372958491695748329e+10,1.047680659452127075e+10,2.022475230801551561e+03,-5.069802214634146541e+06,5.222669493676989805e+05,6.216532386593625546e+08,-5.899373250824691240e+03,3.800929553981519490e+07,3.274466400611845851e+08,-6.120963855611751114e+02,2.369332079381757416e+06,4.289569250526162068e+04,-3.699165298231166162e+03,2.124616714220307756e+02,-3.276363173036698981e+02,1.503266015978372097e+08,-2.208637166906324580e+02,-1.067398779900205135e+07,2.203779506130956361e+04,2.452672357670013525e+02,5.954712343948157240e+02,4.579916998994555115e+02,2.624333032446832476e+03,-6.724265582395643927e+06,6.636986021735698671e+01,8.940334839631720679e+05
