O $a$ ,O $b$ ,O $c$ ,O O ,O Al ,O Ca ,O K ,O Mg ,O S ,O Si ,O Th ,O U ,Al $a$ ,Al $b$ ,Al $c$ ,Al Al ,Al S ,Al Si ,Ca $a$ ,Ca $b$ ,Ca $c$ ,Ca Ca ,Ca S ,Ca Si ,K $a$ ,K $b$ ,K $c$ ,K K ,K S ,K Si ,Mg $a$ ,Mg $b$ ,Mg $c$ ,Mg Mg ,Mg S ,Mg Si ,S $a$ ,S $b$ ,S $c$ ,S S ,S Si ,S Th ,S U ,Si $a$ ,Si $b$ ,Si $c$ ,Si Si ,Si Th ,Si U ,Th $a$ ,Th $b$ ,Th $c$ ,Th Th ,U $a$ ,U $b$ ,U $c$ ,U U
1.000000000000000000e+00,-9.705337434939320662e-01,-7.304187383138291967e-01,1.338837922579030892e-01,-2.309976976370081356e-02,7.273578545877290146e-04,1.373449700405204345e-02,1.904313059986926376e-02,3.150751987685216915e-01,2.493871157990907791e-02,-5.457419418493945906e-03,1.769386716395469558e-02,-3.176580109868664108e-03,1.760748087884116131e-03,-8.269686203562999841e-03,1.572871160108668068e-03,-1.665997181736657978e-02,-3.896662616340229243e-03,-5.661856224837082162e-04,2.981771816088375619e-04,8.412578193025664229e-04,1.639962597081215921e-04,-1.057581007000399755e-03,6.060848456157709479e-05,-1.869490622519315954e-03,2.705313771636178120e-03,5.894214119395379918e-03,2.596351657111796614e-03,1.636753006747443048e-02,2.791912926755503628e-03,-9.394756080298405712e-03,6.481919369460433650e-03,1.222903239276471564e-02,-1.237064429775842564e-02,-1.469714309372154026e-02,-3.319393553728529084e-03,-1.543211632376060259e-02,3.346232591383401216e-03,1.208678211142250464e-01,-7.647261410804488679e-02,-3.412611203489235995e-02,9.665171306742267182e-03,1.175549498527072396e-03,2.801843255678471492e-02,-3.045786235574478307e-02,-4.752436184196696164e-04,-1.782858178156585633e-03,-2.073206270438641280e-03,-4.380938045694346764e-03,-1.201150127616359324e-03,1.122218314595270754e-03,3.482458777119021385e-04,2.814031742910011761e-04,-1.039883517691108511e-02,9.710067139127843971e-03,1.683734176110821684e-02,-6.723552974715288344e-03
-9.705337434939296237e-01,9.999999999999997780e-01,6.290912192685276239e-01,-1.841506288752781662e-01,1.930104019282985472e-02,-9.081294497377752654e-04,-9.922083721813660870e-03,-2.156745228231010669e-02,-2.329213856190540666e-01,8.766716594203066704e-02,3.319536787711836832e-03,-1.874207574266291421e-02,1.936312545495241571e-03,-1.033148004378348604e-03,6.436971070034540332e-03,-1.483156009062705028e-03,1.095785168251767368e-02,-9.877957511736179888e-05,5.459280702334695342e-04,-2.830332478379793859e-04,-9.396268757091809972e-04,-9.290792358522581877e-05,9.796135017374001629e-04,-2.442069546615731140e-04,1.165333685754565930e-03,-1.907510293324878557e-03,-3.725944320545264508e-03,-2.410905077737796748e-03,-1.236672034222338623e-02,-2.194436147953606961e-03,9.377853038584490000e-03,-6.684647008764494497e-03,-1.342114008444824855e-02,1.339620958812038493e-02,1.404592763325354134e-02,1.136440057301335398e-03,1.900826434890571029e-02,-9.653149468606764261e-03,-9.162896294249431306e-02,6.918087705427938827e-02,2.682084898705889078e-02,-1.322084103120195172e-03,-1.277476146699451894e-03,-1.012552244140981633e-02,9.629290421495250579e-03,2.021303079717512094e-02,3.834993396362999687e-04,1.835985018633416038e-03,4.545031705580659595e-03,1.232338174408126753e-03,-1.163690955434098801e-03,-4.898994911074707912e-04,-2.965057860039426721e-04,1.093708209334241094e-02,-1.021202623829926305e-02,-1.779531561920881869e-02,7.019780012287151968e-03
-7.304187383138288636e-01,6.290912192685286231e-01,1.000000000000000000e+00,4.706891986038390652e-01,7.229723231051867274e-03,-6.437009803131407562e-04,-9.677499908919283585e-04,-7.549582933721220128e-03,-2.148556340033991874e-01,-9.501879682333498611e-02,3.783993593686790953e-03,-1.028696245446831734e-02,3.103136213870205662e-03,-3.017014300389251388e-03,6.645506222097561505e-03,-2.543526312058850495e-03,1.154209088400228247e-02,3.645886945659343459e-03,5.102966432575918674e-04,-2.510201331716592119e-04,-8.291074680656892234e-04,-1.909210863681615482e-04,9.349694486172353868e-04,-2.504335389613843036e-04,3.140489687337069419e-03,-3.302218170358071393e-03,-5.133559337947890371e-03,-4.496073721457805343e-04,-1.058471208237236200e-02,-1.511126212646179967e-03,5.137927288413766426e-03,-3.116473399856126321e-03,-5.985056370333121691e-03,6.027669410907780280e-03,9.509714868216740530e-03,7.063234819554047505e-04,1.778985122494340654e-02,-7.651031375630135481e-03,-1.032110660829449050e-01,6.392295053836945240e-02,2.532331021425600348e-02,-2.630238072444577441e-02,-6.229857358577334161e-04,-2.185435717165341851e-02,2.307283104130947865e-02,-5.579457067472348578e-04,8.152709056138060517e-04,1.956761547878085351e-03,2.620692402005478806e-03,1.161383552378399088e-03,-1.134317704001241555e-03,-1.374645987013924011e-04,-6.003940094353891815e-04,6.104609709680640199e-03,-5.699593514855540340e-03,-9.818582310252871315e-03,3.979008006463420968e-03
1.338837922579030337e-01,-1.841506288752792486e-01,4.706891986038392317e-01,1.000000000000000222e+00,-3.746680967483433100e-02,-2.065982491919698179e-03,1.193410582998614272e-02,-2.067903355098836896e-02,-1.499570523690387826e-02,-4.968822684114364979e-02,-1.695828592166722477e-03,-5.106209249944725515e-04,-1.524856639044361696e-03,1.801886079728315035e-03,-1.038252118582638078e-02,-6.008062366188450623e-05,1.062043624275705450e-02,2.106898542776687155e-03,4.937823265995493899e-04,-3.517981194842552351e-04,-1.041558530095837605e-03,9.413081470828426169e-04,6.518401533423519387e-04,-3.434402686711617936e-04,3.832153149592689833e-03,-2.868162299577226362e-03,-4.067062944618596645e-03,3.043004642487735518e-03,1.158053455977438350e-03,1.047417968061357561e-03,7.601195784749843927e-03,-6.047408677477959793e-03,-1.171291974432856625e-02,1.300077033054007625e-02,9.273144554747597343e-03,-2.592145369653776898e-03,1.180528473819543109e-02,-7.961882902023523570e-03,-3.985386664185854022e-02,2.301314935225588082e-02,6.847690226275971077e-03,-1.209223451502714972e-02,-1.976414068865245009e-04,2.714169525301316117e-03,-5.963843062745124990e-03,1.837635403493109026e-02,-3.955487716001529486e-03,1.113865341606899793e-03,-1.696085629358712031e-05,7.379376604205984498e-04,-7.753230888192015223e-04,-7.685857983892049146e-05,-8.401099002387536763e-04,8.087404361376114711e-05,-6.576285508948634449e-05,-3.818171520262547106e-04,-1.385635527288573885e-04
-2.309976976369088747e-02,1.930104019283542666e-02,7.229723231053498782e-03,-3.746680967483540653e-02,9.999999999999998890e-01,-2.537136267067740701e-04,-3.178803634179343598e-03,-7.296959065646688170e-03,-2.305893122979013263e-02,-1.939345133734973747e-02,9.136421038589384765e-05,1.458307309040104158e-04,3.183014798455928163e-01,-3.532669763559741494e-01,5.644868215840146419e-01,-1.916479317542629443e-02,-1.184289460184217435e-01,2.127594288215281793e-01,5.843852771637560129e-05,-2.634262829261874712e-05,-2.039071075738794624e-04,1.057499800248590863e-05,8.385774216850618327e-05,-1.420776811062280872e-04,2.049000769049435285e-03,-1.548497145813956420e-03,-3.672164145230162428e-03,1.894995778986555178e-03,-4.003695826142994441e-05,2.998688805241393968e-04,1.138571508825154434e-03,-9.515686224811951369e-04,-4.230235634228426446e-03,2.684035266229678040e-03,1.466494078251025929e-03,-2.028063417375141481e-03,4.887675179263852206e-03,-3.753136452836977784e-03,-2.156276594695287485e-02,-5.291016112444501575e-04,7.692711047774503617e-04,6.744210256125581296e-03,4.868321494246512313e-04,-1.694699256215621841e-02,1.473918224070003453e-02,2.104470308657956090e-02,-5.466151628132112118e-03,8.853704942390964961e-05,2.144288946335316315e-04,-1.894439961253313045e-04,1.782759766669896159e-04,2.813035277127508304e-04,-2.483928968826970194e-04,3.058249636119107014e-04,-2.980892330116744339e-04,-4.493790197130098651e-05,5.076817880379710934e-04
7.273578545877401819e-04,-9.081294497377876253e-04,-6.437009803131422741e-04,-2.065982491919692542e-03,-2.537136267067930436e-04,1.000000000000000222e+00,-8.410069951774601241e-05,-1.630072602041740234e-04,-1.467796234435904661e-03,-7.715909382619994027e-04,1.352212927642291583e-04,1.139675135048953182e-04,9.475164136833767248e-05,-1.503213794200268093e-04,1.227960312184284852e-05,-1.981624259188949518e-04,-4.719124622050731695e-05,2.027008849122050027e-04,-1.115636185011586456e-01,9.310171582841469951e-02,4.611661608399449941e-01,-4.047811037823019764e-01,-8.381798081923842736e-02,2.324573799284305187e-01,1.803108694903939773e-04,-8.963264957365472410e-05,-2.705183946747322685e-04,4.393496883622608124e-04,2.974980934125647284e-04,9.786514349464825089e-05,3.699529883484428124e-05,-2.213589512702114100e-05,-1.152608710174485198e-04,7.441688128400486546e-05,7.732592780918300720e-05,-1.040152386747791180e-04,-1.002375233878906541e-04,1.830196916063077904e-04,-1.018609569125850144e-03,4.357987604008842306e-04,-2.495898376834188178e-04,2.385027355063297516e-04,1.273686497839903954e-05,8.163900823837028141e-05,-1.884842872887992969e-04,5.649260283416148538e-04,-1.541099431139745417e-04,1.193542483591005949e-05,-1.500202672151256711e-05,-1.460301849606458495e-06,3.444135551749065629e-06,-3.591066082171168216e-06,-1.515572031920394737e-04,-5.475356239139671298e-05,5.088607099000600181e-05,1.023394812803272069e-04,-2.642753929619703771e-05
1.373449700405341388e-02,-9.922083721814290574e-03,-9.677499908928779027e-04,1.193410582998600047e-02,-3.178803634179575618e-03,-8.410069951774746253e-05,9.999999999999997780e-01,3.693595369063787381e-03,4.078890889024304467e-02,5.597021788001213527e-03,-9.329890729729822113e-04,5.093590543045854865e-04,-5.861636708496640192e-04,-3.836385075043799127e-05,-2.279045235900262266e-05,2.857553738113548670e-04,-2.631422714261114678e-03,-3.668125457766189374e-04,2.006028387479330541e-05,-1.570219830181670098e-06,-1.004606819054473750e-04,-1.032770443954931689e-05,1.954603966779646141e-05,-1.365033768616961507e-04,-7.919137093742109612e-02,2.076823335484400887e-02,6.168976663857319576e-01,-9.537421759263292609e-02,-2.257580640778607817e-01,-6.120089164433239332e-02,-2.076612087637824818e-04,3.302851624048740945e-04,1.821141066668547498e-03,-9.291153771136185418e-04,1.964901176058092439e-04,3.189305615676446917e-04,6.598520710605067924e-03,-7.464267891968229436e-03,7.303530722011732437e-03,1.680713801579435335e-03,-2.168878903056304167e-03,-9.266793767228033440e-03,1.016251400895324259e-04,3.377305541189079812e-03,-3.976713185781475916e-03,2.403307092511823648e-03,-5.946824262586268344e-04,3.325573039895036347e-04,-6.910678608590650382e-05,4.097406139729115916e-04,-4.043673689208581497e-04,-4.499849084234537632e-04,-3.588398471608186119e-04,-2.288295390682390496e-04,2.118441538785297506e-04,4.508164899690153267e-04,-9.433508288011421361e-05
1.904313059987289974e-02,-2.156745228231268102e-02,-7.549582933724766770e-03,-2.067903355098803589e-02,-7.296959065647938038e-03,-1.630072602041441807e-04,3.693595369064648238e-03,1.000000000000000222e+00,3.116518731559421961e-03,-1.577608681068767837e-02,-3.220028442774072611e-04,-3.033154433588464323e-03,1.992336293735983820e-03,-2.117635272458034523e-03,-2.302599910208722421e-03,8.256316324985324548e-04,2.786641584314238345e-03,-3.087075131962388388e-03,5.150512854288937490e-05,-2.218841974807736215e-05,-1.493058024908595384e-04,7.218967940794908234e-06,7.500229119238204021e-05,-1.224802906588623008e-04,-1.266734492662599781e-03,1.526319550494968993e-03,4.073132688637931759e-04,2.431809548022540596e-03,-2.709574774397573594e-03,6.087224450420133503e-04,-1.774628335383203748e-01,1.669214277050388440e-01,5.332600673919967171e-01,-4.200074949186570761e-01,-1.501312716848018092e-01,2.127905612735877527e-01,-7.582551394919391334e-03,8.080999713809546361e-03,5.832048062555966099e-04,-3.282292823073887714e-03,1.631715548999063115e-04,1.261183357036661269e-02,-3.055435203359843947e-04,3.982717858106167921e-03,-5.683116911521866009e-03,5.768402709111726534e-03,-3.341851092949024195e-03,9.544787521174648303e-05,3.929286718351584855e-04,1.108118843711849332e-05,-1.379095813492399747e-05,-6.775308050768186056e-05,-1.974601445132282470e-03,1.461556034243226450e-03,-1.358405523299704596e-03,-2.724876957078608414e-03,7.093842778602770741e-04
3.150751987685377897e-01,-2.329213856190706089e-01,-2.148556340034107059e-01,-1.499570523690207588e-02,-2.305893122977998103e-02,-1.467796234435877556e-03,4.078890889024095606e-02,3.116518731546967080e-03,9.999999999999998890e-01,1.442019738781982752e-01,-1.049008419489578028e-02,-7.808904963542360458e-04,-1.684652847577687747e-03,-4.586393233530567520e-03,-5.132199598208098124e-03,-2.419805187061469746e-03,-7.349259363705012982e-02,-1.067787150483461532e-02,-3.338095645619804460e-05,3.979985511582102376e-05,-8.360978836406459530e-04,5.643827981939424651e-04,-3.637008846329660059e-04,-1.296074658180622124e-03,-6.916105412970770944e-03,9.155641097763374606e-03,2.155321513104350301e-02,5.416259891990874049e-03,5.889592093094841302e-02,8.841095187233069530e-03,-3.782137230587131072e-03,2.418479285543795494e-03,2.206948268750656521e-03,-2.983491221218948115e-03,-6.275419646127778847e-03,-7.394139413817550632e-03,1.029083176116502019e-01,-1.285506369566342399e-01,3.098300145047050425e-01,9.623541875181362490e-03,-5.330678641800692258e-02,4.251201385264512245e-02,7.105331804447369065e-05,1.107574849709659082e-01,-1.155949891518721906e-01,-1.394160828048798990e-02,7.807140072327176106e-03,5.205176862104564763e-04,1.587711823466093035e-05,9.075832775457084219e-04,-1.024559299536504948e-03,-1.175477796408053432e-04,1.519356141056819572e-04,3.270909501102355369e-04,-3.004658912933551784e-04,-6.735137107622020652e-04,9.866902872526299949e-05
2.493871157991573231e-02,8.766716594202327018e-02,-9.501879682333778943e-02,-4.968822684113925053e-02,-1.939345133733004142e-02,-7.715909382619567936e-04,5.597021787996358036e-03,-1.577608681072309449e-02,1.442019738781980809e-01,1.000000000000000222e+00,-1.277479066833769536e-02,-6.471463558568852845e-03,-1.021427717142120613e-02,7.570517656713228634e-03,-8.985295826476271883e-03,6.133067673857764911e-05,-1.326647499341722207e-02,-3.607430103189879222e-02,-4.210586049840817584e-05,1.117082923170863439e-04,-7.843432231945860313e-04,-5.388277129436855973e-05,-2.588481770121595408e-04,-1.367420868796689155e-03,1.049722859800787265e-04,4.271122257857618313e-04,-9.828135511545268814e-04,4.202287456508870932e-04,4.755214567629233342e-03,2.381513989410452038e-03,-1.561035752089919102e-03,2.505970935315535210e-05,-8.336411907529333101e-03,5.536462852156400806e-03,-4.999443387396352093e-03,-2.035977936166064040e-02,-6.099528338274808883e-04,-4.262136289357522888e-03,4.812131441980624369e-02,-2.446591869061801039e-02,-1.169267404730943601e-02,2.759038750083507921e-02,-6.577216095718307291e-04,1.146955696235240491e-01,-1.368603847432502130e-01,2.019624328889354503e-01,2.305867177893444406e-02,-2.606073270520934630e-03,8.307477730552041131e-04,7.081292240133347333e-04,-7.547897504514446522e-04,-1.250538343728543932e-03,-5.645698187929232281e-04,3.166080791719208792e-03,-2.949275217905588439e-03,-5.834834074769893082e-03,1.611459559645634287e-03
