O $a$ ,O $b$ ,O $c$ ,O O ,O Al ,O Ca ,O K ,O Mg ,O S ,O Si ,O Th ,O U ,Al $a$ ,Al $b$ ,Al $c$ ,Al Al ,Al S ,Al Si ,Ca $a$ ,Ca $b$ ,Ca $c$ ,Ca Ca ,Ca S ,Ca Si ,K $a$ ,K $b$ ,K $c$ ,K K ,K S ,K Si ,Mg $a$ ,Mg $b$ ,Mg $c$ ,Mg Mg ,Mg S ,Mg Si ,S $a$ ,S $b$ ,S $c$ ,S S ,S Si ,S Th ,S U ,Si $a$ ,Si $b$ ,Si $c$ ,Si Si ,Si Th ,Si U ,Th $a$ ,Th $b$ ,Th $c$ ,Th Th ,U $a$ ,U $b$ ,U $c$ ,U U
1.480602292599315917e-01,-2.899540074784628700e+02,-4.325325887983001216e+00,7.043798008604401639e-02,-4.812472045713511032e-02,2.188095123026264233e-03,3.077082756959333837e-02,3.212949720175525131e-02,2.859030755245197675e-01,1.176112182051449774e-02,-5.861031337863444046e-02,9.514909699949200550e-02,-1.074339842525129200e-03,1.962935648554327450e+00,-1.017028342262074614e-01,2.793122422872558117e-02,-2.998755844281939670e-02,-1.440257720109479334e-02,-2.618883033596125466e-04,4.561983453826195523e-01,1.546215086240230671e-02,5.026989416602970634e-02,-2.085552428264794787e-03,1.719006825596309715e-04,-5.248182727523195657e-04,1.578875846480070289e+00,8.213457461092134315e-02,1.519959331246481526e-01,2.213765171484579491e-02,1.395333934358849743e-03,-2.831701359806621399e-03,6.693354179104968438e+00,1.068686593002397267e-01,-1.819792463862993925e-01,-1.878776240504593728e-02,-5.166746992362408232e-03,-3.085034954879004379e-03,1.284653863717663214e+00,8.045503911179661127e-01,-3.853662305209364092e-02,-1.065551781961951612e-02,8.700651062393871982e+00,1.115944984827173161e-03,4.126956905497356984e-03,-8.899270838730778621e+00,-2.576011881975775412e-03,-1.409377640375901897e-04,-1.282964794311346017e-03,-1.990142590058278579e-03,-1.902021397240262869e-03,3.237244950182679659e+00,3.920102622800256814e-02,6.922078143604818434e-01,-5.954259357901746375e-03,1.051125146262914001e+01,5.632263262809510396e-01,-1.721660719428908248e-01
-2.899540074784621311e+02,6.028351047158248257e+05,7.516931806683343893e+03,-1.954934239090187020e+02,8.113744769262568468e+01,-5.512465484852717701e+00,-4.485484532197742880e+01,-7.342509003956762115e+01,-4.264754457407628934e+02,8.342414444432927212e+01,7.193566389485779666e+01,-2.033666130139522181e+02,1.321409387092347565e+00,-2.324081943100651188e+03,1.597370432232818587e+02,-5.314515965869819070e+01,3.979901478185407626e+01,-7.367066991760047312e-01,5.095335074559846911e-01,-8.737693646870800421e+02,-3.484787346304845812e+01,-5.746545376001789407e+01,3.898004085380908368e+00,-1.397597973747847666e+00,6.601095496369460136e-01,-2.246349288466087728e+03,-1.047650737126705280e+02,-2.847925497779912121e+02,-3.375071685222253848e+01,-2.212989197230027294e+00,5.703552212671066712e+00,-1.392831945814112441e+04,-2.366615658009371543e+02,3.976413456426531070e+02,3.623035770049296644e+01,3.569316346486425040e+00,7.667558930017933427e+00,-7.477890336669726821e+03,-1.230709029339240033e+03,7.034509829582786722e+01,1.689819536754522744e+01,-2.401493069049303358e+03,-2.447004242736353419e+00,-3.009425504064552115e+00,5.677136655412582513e+03,2.210767463071259726e+02,6.117236322835363505e-02,2.292563728625799602e+00,4.166141899997247933e+00,3.937568000508155031e+00,-6.773543548755174925e+03,-1.112752295749718598e+02,-1.471704903143609954e+03,1.263643546338190227e+01,-2.230612715840426245e+04,-1.201144266955978310e+03,3.627039629102250160e+02
-4.325325887982999440e+00,7.516931806683355717e+03,2.368402110113612480e+02,9.904250847604677332e+00,6.024080287008851675e-01,-7.744809619569693881e-02,-8.671577392146834207e-02,-5.094447072738308435e-01,-7.797580474218939628e+00,-1.792226000791461216e+00,1.625345207404181869e+00,-2.212470935282111917e+00,4.197504982901802129e-02,-1.345224339183570805e+02,3.268741714457209735e+00,-1.806514981298817490e+00,8.309212113431816427e-01,5.389632030004904983e-01,9.440358513975947996e-03,-1.536018218664062296e+01,-6.094809422835653079e-01,-2.340649771319168959e+00,7.374174324587898233e-02,-2.840829555170884535e-02,3.526074947373405294e-02,-7.708051565084987544e+01,-2.861061550763923211e+00,-1.052713975029335502e+00,-5.725797218009219813e-01,-3.020546576097553337e-02,6.193817507624826274e-02,-1.287099487019060859e+02,-2.091871590115526924e+00,3.546398045315408698e+00,4.862035699083431806e-01,4.397143153422555101e-02,1.422379315023621638e-01,-1.174785280707083786e+02,-2.747750730719113577e+01,1.288347569497954037e+00,3.162399506711621178e-01,-9.469908146088239391e+02,-2.365312234147754281e-02,-1.287456741400399007e-01,2.696276342959010890e+02,-1.209572819281294204e-01,2.577632711897672596e-03,4.843046532642596852e-02,4.761476474369669143e-02,7.355332140546061437e-02,-1.308704004534922092e+02,-6.188862467085651797e-01,-5.906801369806118629e+01,1.398007390470784317e-01,-2.467655831195553162e+02,-1.313610814789652181e+01,4.075041761914621752e+00
7.043798008604398864e-02,-1.954934239090198389e+02,9.904250847604680885e+00,1.869473695809807934e+00,-2.773625065339411777e-01,-2.208437802845691564e-02,9.500725558482653321e-02,-1.239756208731170595e-01,-4.835172516111732599e-02,-8.326619234609605735e-02,-6.471562288784067640e-02,-9.757105192601518359e-03,-1.832531107043193193e-03,7.138001545825873428e+00,-4.537193718291667732e-01,-3.791156606359348535e-03,6.792813198865683966e-02,2.767142344355242797e-02,8.115836281767733465e-04,-1.912552143953446526e+00,-6.802443496902753350e-02,1.025289042489550440e+00,4.567610360245119919e-03,-3.461273057522604255e-03,3.822689153342976980e-03,-5.948048913356211997e+00,-2.013823796003848254e-01,6.330114116211067454e-01,5.565670361689643506e-03,1.860102075202332839e-03,8.141123257188005377e-03,-2.218962543565109158e+01,-3.637172542782807216e-01,6.795776691378098144e-01,4.212206338359156255e-02,-1.433699960312925792e-02,8.385935893204434638e-03,-1.086141128464127625e+01,-9.426565532823851790e-01,4.120825700055309043e-02,7.597528253236568094e-03,-3.868024602099203690e+01,-6.666843670722009388e-04,1.420572943421609868e-03,-6.191867891417159875e+00,3.539414192354401467e-01,-1.111094736996298812e-03,2.449319200404518650e-03,-2.737822747379973283e-05,4.152199886341070498e-03,-7.947332766018489814e+00,-3.074286077488117344e-02,-7.343178393980973162e+00,1.645480279618193400e-04,-2.529608568049951933e-01,-4.538426680928465268e-02,-1.260776834716752746e-02
-4.812472045711443241e-02,8.113744769264910417e+01,6.024080287010211698e-01,-2.773625065339491158e-01,2.931451542310510661e+01,-1.073949869323308909e-02,-1.002102785931360124e-01,-1.732326082852218840e-01,-2.944190678720985388e-01,-1.286921307705226336e-01,1.380654357251798019e-02,1.103451151065487287e-02,1.514755990243023431e+00,-5.541585381975678501e+03,9.768322378130703498e+01,-4.788760417026161953e+00,-2.999486144932072662e+00,1.106517720925572412e+01,3.803458501767117235e-04,-5.671011855006501401e-01,-5.273455767879661749e-02,4.561172243559518530e-02,2.326873562545085736e-03,-5.670119177709832467e-03,8.093752669000340433e-03,-1.271636244753186418e+01,-7.200196363475988015e-01,1.560985438131603731e+00,-7.619590461282807611e-04,2.108773018442361338e-03,4.828857656047447905e-03,-1.382618761899979631e+01,-5.201696103644435354e-01,5.555714393699613396e-01,2.637816627089558871e-02,-4.441832028600577881e-02,1.374861935284430077e-02,-2.027432985400702847e+01,-2.019617741115126375e+00,-3.751707347805013915e-03,3.379786900496908886e-03,8.542705761957060417e+01,6.502842952745854430e-03,-3.512375086553938541e-02,6.059691911475417214e+01,1.605079403418565587e+00,-6.080151563274050451e-03,7.709379436215693052e-04,1.370637280752283688e-03,-4.221055901071301374e-03,7.236243714902485635e+00,4.455626534971716124e-01,-8.597433576921259757e+00,2.463985438979867781e-03,-4.540468151701444022e+00,-2.115165541538429478e-02,1.829205401990946500e-01
2.188095123026297627e-03,-5.512465484852792308e+00,-7.744809619569713310e-02,-2.208437802845685319e-02,-1.073949869323389227e-02,6.112202197374516288e+01,-3.828297442995317115e-03,-5.587945721418865162e-03,-2.706138531552835721e-02,-7.393354014548781869e-03,2.950607505740550709e-02,1.245210084535960590e-02,6.511008455715688696e-04,-3.404938223189870161e+00,3.068371948141387744e-03,-7.149863979790449520e-02,-1.725869440335431413e-03,1.522238490338751610e-02,-1.048478440706242409e+00,2.894120655476487627e+03,1.722177347092723210e+02,-2.521006153122329579e+03,-3.358337285784652515e+00,1.339575395302149730e+01,1.028459541648282446e-03,-1.062860383620698679e+00,-7.659079066713053718e-02,5.225867859252903980e-01,8.175460743492592858e-03,9.937656283838249786e-04,2.265625519640625403e-04,-4.644264204618609448e-01,-2.046537987967291666e-02,2.224234924252950496e-02,2.008384791566918560e-03,-3.289539204114296390e-03,-4.071407537163620094e-04,1.427603057460449465e+00,-1.377621641018017262e-01,4.462038949235886710e-03,-1.583413318823132486e-03,4.362296773285786244e+00,2.456654355431133483e-04,2.443225013104627559e-04,-1.118947740972411120e+00,6.221610235758610885e-02,-2.475260362712401632e-04,1.500685737819810485e-04,-1.384671217013186742e-04,-4.698296161049272929e-05,2.018636368090672151e-01,-8.213239681213147306e-03,-7.574670323550077633e+00,-6.369936183933812930e-04,1.119207882419431810e+00,6.955562832034478671e-02,-1.374944331086563366e-02
3.077082756959640883e-02,-4.485484532198027807e+01,-8.671577392155342678e-02,9.500725558482540911e-02,-1.002102785931433260e-01,-3.828297442995383035e-03,3.390114899130837500e+01,9.429809094160852834e-02,5.600601809910737972e-01,3.994107351613586376e-02,-1.516181765035591322e-01,4.144707998132853705e-02,-2.999775599969703357e-03,-6.471709725003387259e-01,-4.241163068928152299e-03,7.678550208364251506e-02,-7.167133008798146077e-02,-2.051538105273040258e-02,1.404049243395196454e-04,-3.635195383468749902e-02,-2.793990430018319579e-02,-4.790334369287271854e-02,5.832493253640769204e-04,-5.858353463720721716e-03,-3.363965383238154971e-01,1.834078385218413416e+02,1.300772153919649838e+02,-8.448652392609895401e+01,-4.620401067306617371e+00,-4.628305700001046352e-01,-9.471206776620297611e-04,5.160802580977215115e+00,2.408185036906149157e-01,-2.068174554973664370e-01,3.800763523873423345e-03,7.511775271805915498e-03,1.996039747153184607e-02,-4.336159217893202822e+01,7.356367511380823565e-01,1.281591107293416840e-02,-1.024733777932704260e-02,-1.262291604699717880e+02,1.459792142196868767e-03,7.527390573040591663e-03,-1.758195944351875184e+01,1.971191583993029128e-01,-7.113505709291609606e-04,3.114058137069423363e-03,-4.750351852344812447e-04,9.817821244692237839e-03,-1.765071539492935315e+01,-7.664739530912646481e-01,-1.335660765156294261e+01,-1.982636691552447546e-03,3.470057544306286879e+00,2.281903174634737630e-01,-3.655190155431408544e-02
3.212949720176138529e-02,-7.342509003957638924e+01,-5.094447072740702076e-01,-1.239756208731150749e-01,-1.732326082852515547e-01,-5.587945721417842543e-03,9.429809094163051075e-02,1.922616872710764468e+01,3.222563736741347606e-02,-8.478151815949136472e-02,-3.940701919188260849e-02,-1.858675598980416011e-01,7.678416789109857726e-03,-2.690216084131455787e+01,-3.226930967351561708e-01,1.670745544386942061e-01,5.715774999897816483e-02,-1.300234759594713629e-01,2.714781659548313303e-04,-3.868413045969845143e-01,-3.127120700087034771e-02,2.521600644459379842e-02,1.685423968112516281e-03,-3.958562900797106716e-03,-4.052270414431200472e-03,1.015086309905643169e+01,6.467788767815260687e-02,1.622277627447368697e+00,-4.176155963079460770e-02,3.466751947831575933e-03,-6.095320102756672798e-01,1.964171650554827465e+03,5.310366493342144878e+01,-7.040666105310167211e+01,-2.186958117794696843e+00,3.774313540135214584e+00,-1.727337213340421340e-02,3.535267330172342071e+01,4.423752463009007069e-02,-1.884830096228523599e-02,5.805763830630067358e-04,1.293741748077178499e+02,-3.305233213104823587e-03,6.684867528777093879e-03,-1.892207505267835543e+01,3.562987560341132620e-01,-3.010404400453167099e-03,6.730784039346769622e-04,2.034032877995680787e-03,1.999546980740207790e-04,-4.533355904431823902e-01,-8.690958256298253470e-02,-5.534955353777635167e+01,9.536427018056415836e-03,-1.675671170418601008e+01,-1.038684094750697229e+00,2.069938606931125968e-01
2.859030755245343669e-01,-4.264754457407931909e+02,-7.797580474219357960e+00,-4.835172516111151814e-02,-2.944190678719689203e-01,-2.706138531552785761e-02,5.600601809910450424e-01,3.222563736728469019e-02,5.561229259154700344e+00,4.167850492602498957e-01,-6.904494314060097837e-01,-2.573583340923746299e-02,-3.491873330055300737e-03,-3.133619893326586947e+01,-3.868243055947752085e-01,-2.633561205307509701e-01,-8.107306838281411743e-01,-2.418790687690184626e-01,-9.462856020555523279e-05,3.731874086265181689e-01,-9.418117563118826030e-02,1.060263929842991892e+00,-4.395598508557424164e-03,-2.252892067071959534e-02,-1.189908183405013510e-02,3.274803820242955510e+01,1.840680274764805224e+00,1.943274445871292944e+00,4.882022885680553093e-01,2.707999276520213147e-02,-6.986592510344981355e-03,1.530554309959323511e+01,1.181997641009933653e-01,-2.689803149437376972e-01,-4.916444042933511283e-02,-7.053623498814919068e-02,1.260814718044498683e-01,-3.024617260756700148e+02,1.263956813227962250e+01,2.972137175701327141e-02,-1.020085185089958796e-01,2.345416980948411947e+02,4.133828150321752206e-04,9.998281828158273044e-02,-2.069951662023725021e+02,-4.631382336011163336e-01,3.782411208087391348e-03,1.974121628997652696e-03,4.420332638705006732e-05,8.807867699972906500e-03,-1.811346350164656016e+01,-8.109462559379092272e-02,2.290515747874219521e+00,1.147830531066441331e-03,-1.993395906883573376e+00,-1.380772252477376061e-01,1.548444999131033846e-02
1.176112182051763586e-02,8.342414444432222353e+01,-1.792226000791514284e+00,-8.326619234608867437e-02,-1.286921307703919326e-01,-7.393354014548373342e-03,3.994107351610121787e-02,-8.478151815968168470e-02,4.167850492602492851e-01,1.502142224486856525e+00,-4.369953566031202774e-01,-1.108461814806916829e-01,-1.100337278408781115e-02,2.688256668507209568e+01,-3.519757345227783052e-01,3.469052696760406996e-03,-7.606041768381222035e-02,-4.246994026425218727e-01,-6.203490632897933749e-05,5.443785837718539966e-01,-4.591803124582203438e-02,-5.260902707982207521e-02,-1.625881532658250000e-03,-1.235329173488766870e-02,9.386347525939473793e-05,7.939783473603391206e-01,-4.362219933912783038e-02,7.835929661429967552e-02,2.048589015152416093e-02,3.791104381006515402e-03,-1.498687581185798555e-03,8.242378042421978634e-02,-2.320458198172212771e-01,2.594168916491749188e-01,-2.035635940217024945e-02,-1.009410538630885479e-01,-3.883892247239563466e-04,-5.211870951561758503e+00,1.020272913192918907e+00,-3.927042172000858727e-02,-1.162888053414754159e-02,7.911089798111885329e+01,-1.988750461433363374e-03,5.381075171958051018e-02,-1.273705661930438566e+02,3.486891870542622840e+00,5.806055534068620128e-03,-5.136829672334774534e-03,1.202050148548415836e-03,3.571633951377881696e-03,-6.935224471041514960e+00,-4.483785032799703640e-01,-4.423453655798283535e+00,5.774326869300978188e-03,-1.016913032013305340e+01,-6.216905242853059121e-01,1.314330146570973079e-01
