O $a$ ,O $b$ ,O O ,O Al ,O Mg ,O S ,O Si ,O Th ,O U ,Al $a$ ,Ca $a$ ,Ca $b$ ,Ca Ca ,K $a$ ,K $b$ ,K K ,K Si ,Mg $a$ ,Mg $b$ ,S $a$ ,S $c$ ,S S ,S Si ,S U ,Si $a$ ,Si $b$ ,Si $c$ ,Si Th ,Th $a$ ,Th $c$ ,Th Th ,U $a$ ,U $b$
9.999999999999997780e-01,-9.626473198371430229e-01,7.933450957618511934e-01,-3.074807064627871345e-02,1.396344093095716610e-02,2.379991302561890731e-01,-6.538193055246481478e-02,-4.276063209466875355e-03,5.685865340494537963e-03,-7.170883639797591934e-03,2.481943359790760313e-05,-1.138651265505737972e-05,9.971085050334883859e-05,-3.687650121994503344e-02,3.185050376132567140e-02,1.088006095042255705e-02,2.127509384893202030e-03,3.237797890248070732e-03,-1.499144121481782584e-04,-4.096735782387184860e-02,1.098943122662542488e-01,-5.397244321763932512e-02,-2.368716651068489623e-02,-5.511968405937236418e-04,1.758262093360025285e-02,-1.957060767619193259e-02,-1.153616007392051701e-03,-9.770274362392555433e-04,-1.806945520086493959e-03,-1.210383700786062171e-04,-1.475257290463597186e-03,4.999769896247667489e-03,-4.921345161295872205e-03
-9.626473198371453543e-01,9.999999999999998890e-01,-7.009200044617188707e-01,2.333552504249833751e-02,-1.488240316715776744e-02,-1.306848379279017813e-01,1.902957528424197020e-01,1.304553597054803997e-03,-6.020612345545755043e-03,6.664441244281377359e-03,-1.916278389099134062e-05,8.791286115752497014e-06,-7.698612447919852598e-05,2.524857201577022578e-02,-2.225978124783374937e-02,-9.362033960284350809e-03,-1.751717176578694883e-03,-3.450885916006291108e-03,1.597828280864997306e-04,2.430067067562633951e-02,-4.969714366419893808e-02,3.961852305357282250e-02,1.494115239822328169e-02,5.301823206582475948e-04,4.571143104048009526e-03,-6.126227528415378008e-03,2.700004218882004481e-02,4.448118170056212313e-04,1.353475431704852022e-03,-1.601770306861986803e-04,1.486347423114407502e-03,-5.298109416960437162e-03,5.212347885784107508e-03
7.933450957618534138e-01,-7.009200044617196479e-01,1.000000000000000000e+00,-4.767331262051189428e-02,-1.275324211411663945e-02,9.986816082787995652e-02,-5.939836615937169745e-03,-4.099574580449033383e-03,1.819349878118565762e-03,-2.318132747502059388e-02,8.744711241204654079e-05,-4.012160858844850050e-05,3.512941716480072105e-04,-3.158397865758419409e-02,2.873175345569001574e-02,1.541547633926561300e-02,3.035541292884109434e-03,-2.957206936808332715e-03,1.369501121542254633e-04,-5.349103014112117742e-03,2.004720213411238794e-02,-1.293704862018598550e-02,-5.177285702151966131e-03,-3.643197942033455511e-04,1.517235110139474041e-02,-1.886585473418626521e-02,2.087407328624188083e-02,-2.172730569920022412e-04,-1.199693342311989458e-03,6.662487220388033484e-04,-7.999423903963323330e-04,1.585806388637715260e-03,-1.570272649864392278e-03
-3.074807064627840814e-02,2.333552504249800791e-02,-4.767331262051163060e-02,1.000000000000000000e+00,-6.240343603364550788e-03,-2.559311048458463855e-02,-1.580715971087324687e-02,1.825298951800433328e-04,9.773368523391947292e-05,9.116940790692569241e-01,-2.618373121782647183e-05,1.201357982320437277e-05,-1.051863285936467641e-04,1.729652269587614961e-03,-7.450220131427946020e-04,2.686728375340800747e-03,3.618129705668442176e-04,-1.446994449201398792e-03,6.700197124253190657e-05,6.644230574386114294e-03,-2.251616620559184975e-02,1.512723250849674905e-03,2.503427699447287758e-03,3.040485065278153106e-04,-8.495537396636646324e-03,8.307966496609855631e-03,4.764525962459504813e-03,5.960713943851448683e-05,-1.897227043490798854e-05,9.826031622665731141e-05,-3.610767715011363563e-04,1.093155978702135887e-04,-9.201927663284536173e-05
1.396344093095746100e-02,-1.488240316715806408e-02,-1.275324211411642435e-02,-6.240343603364565533e-03,1.000000000000000000e+00,2.272675550514265293e-03,-9.734429312065324275e-03,1.248920569483499355e-05,-7.512942392351047152e-04,-1.958108763044101499e-03,-5.864184133747870849e-07,2.695687900965671584e-07,-2.353225593652732652e-06,-6.110174512273816583e-03,6.172254490015123378e-03,4.993141673783214537e-03,1.266271750041984487e-03,2.318776046805773317e-01,-1.073710731740797585e-02,1.740044949365995809e-03,-5.899050366941137498e-03,1.566858099599451103e-04,7.285941148670000778e-04,9.726470757196946338e-05,1.374404373921084060e-03,-1.892418394636161518e-03,1.989385710199146652e-03,2.882565454723572373e-05,2.403537231679288069e-05,-7.839694238735944558e-05,-2.716019885692140361e-03,-6.588139407246848458e-04,6.496943331987424996e-04
2.379991302561856037e-01,-1.306848379278980066e-01,9.986816082787729199e-02,-2.559311048458471141e-02,2.272675550514159908e-03,1.000000000000000000e+00,1.266158519284697748e-01,-1.224852740398224386e-02,-8.462064001981264372e-04,1.337009302715737313e-02,3.387552347084290210e-05,-1.554185984785001106e-05,1.360931092554440740e-04,-8.356032990326188459e-02,6.506984648708373509e-02,-4.648723121430256913e-03,-8.113408745105883148e-04,5.269861301797499134e-04,-2.440522946670481069e-05,-1.309090631090884804e-01,6.170887493379859645e-01,-6.404562895070141371e-02,-5.230985103306319550e-02,-4.325130971375527053e-04,1.033987247119981107e-01,-1.083031787868939527e-01,-9.536509779884879204e-03,-1.275527475797807011e-03,-2.777436450126696647e-03,6.915874808434164253e-05,1.248861768852598539e-03,-7.824604026316842997e-04,7.446147487183471915e-04
-6.538193055246380170e-02,1.902957528424185085e-01,-5.939836615936270291e-03,-1.580715971087327462e-02,-9.734429312065268763e-03,1.266158519284692474e-01,1.000000000000000222e+00,-1.308780212733073531e-02,-3.022230177156451283e-03,-1.666276737745655536e-03,-1.426474108895876756e-05,6.544860479037521131e-06,-5.730617418642533722e-05,-1.737962490635349896e-02,1.522064051964286922e-02,5.300192429118432205e-03,2.067975121701238605e-03,-2.257198253745081127e-03,1.045217515562953174e-04,-2.240056546485340652e-02,6.128008846057535208e-02,-2.782312798283304370e-02,-1.171275371502213808e-02,2.221201306459027005e-04,1.102860537954024472e-01,-1.343919443743270825e-01,2.141121582344018281e-01,-2.679224774706353771e-03,-6.141733170500519867e-04,-1.776677274465680379e-03,6.126856992293805253e-04,-2.662826104751389068e-03,2.617536342666746275e-03
-4.276063209466898773e-03,1.304553597054847582e-03,-4.099574580449031648e-03,1.825298951800372884e-04,1.248920569482766671e-05,-1.224852740398225254e-02,-1.308780212733046469e-02,1.000000000000000000e+00,6.112154713956079004e-05,-1.777037731038231226e-04,1.558508956136719028e-06,-7.150909351356188520e-07,6.260601816301518802e-06,3.513716379864072550e-04,-3.157948796414759710e-04,-2.057801160488908457e-04,4.389344009356381331e-05,2.895455389808726641e-06,-1.336304995520654459e-07,1.041166076960074217e-02,-2.298324498835145960e-03,2.546155770801291837e-02,2.616732080258857805e-03,-1.058559532865403895e-05,-1.381879457515435613e-03,1.755923285131894386e-03,-2.986037542513716222e-03,-1.050955123736212193e-01,-2.778189554915787562e-01,5.770854225493553535e-01,-1.990840937402991173e-01,5.339872600792233844e-05,-5.279274637064676354e-05
5.685865340494398318e-03,-6.020612345545598050e-03,1.819349878118462762e-03,9.773368523391884951e-05,-7.512942392351051489e-04,-8.462064001980878396e-04,-3.022230177156394471e-03,6.112154713955553166e-05,1.000000000000000000e+00,7.761767740345001812e-04,-2.590043599322488157e-07,1.175619304644645890e-07,-1.051372378246120002e-06,-1.246506131005364524e-04,1.707349302192210912e-04,3.098355938989293340e-04,4.929096595496561619e-05,-1.742103282070038930e-04,8.068882789083397256e-06,6.060864877173329206e-04,-1.515297955302534211e-03,5.628437886168097043e-04,8.419137947192816083e-04,1.832566685979488963e-01,2.822642282181708328e-03,-2.789193419327910643e-03,-2.619502288868820038e-03,1.635032853501238768e-05,3.811960374285678090e-06,2.754169132570953818e-05,2.953356474661196292e-06,9.002220107492363566e-01,-8.721759892423104343e-01
-7.170883639797244122e-03,6.664441244281039955e-03,-2.318132747502029550e-02,9.116940790692567020e-01,-1.958108763044088488e-03,1.337009302715749803e-02,-1.666276737745565764e-03,-1.777037731038213337e-04,7.761767740345020244e-04,9.999999999999997780e-01,-1.111022131013589919e-05,5.097540837734556835e-06,-4.463332997556022680e-05,-2.068094725098604779e-03,2.262852158133822969e-03,2.672126422149687097e-03,4.012038771430108267e-04,-4.540403950191063565e-04,2.102347594326085486e-05,4.351336875533117279e-03,1.977447582327740080e-03,4.407522837937668560e-03,3.057133647274731282e-03,5.651637817925594378e-04,-2.471056422949690582e-03,1.914128309627466211e-03,5.892789072007863053e-03,8.894888236746278985e-05,-1.359377819520794588e-04,3.630281132004445094e-04,-1.935620499178483255e-04,7.302625829634570983e-04,-6.869806033194243797e-04
