O $a$ ,O $b$ ,O O ,O Al ,O Mg ,O S ,O Si ,O Th ,O U ,Al $a$ ,Ca $a$ ,Ca $b$ ,Ca Ca ,K $a$ ,K $b$ ,K K ,K Si ,Mg $a$ ,Mg $b$ ,S $a$ ,S $c$ ,S S ,S Si ,S U ,Si $a$ ,Si $b$ ,Si $c$ ,Si Th ,Th $a$ ,Th $c$ ,Th Th ,U $a$ ,U $b$
6.882752954519218147e-02,-1.521854578522118970e+02,2.507236973996720408e-01,-3.133435667858172624e-02,1.155958470361821006e-02,1.413824631895345962e-01,-2.087613925798447942e-02,-2.979902468372969473e-02,8.471375541091013747e-03,-3.736642355226046258e-04,6.553363045621865650e-06,-1.140877389829330485e-02,1.368006365279068534e-02,-2.247104618562261510e-03,5.052041064118840907e+00,3.272983094912998436e-01,7.088063541949364858e-04,5.091217228371261666e-04,-8.857343836617312394e-02,-9.491270620439948551e-04,3.172902646173494379e-01,-1.547025406384635801e-02,-4.996075194524183215e-03,-3.288868780841614479e-04,1.746558482957537512e-03,-3.887595299423558970e+00,-4.170699971877147270e-03,-3.340131949369392868e-04,-9.790947601601969290e-05,-3.041849518222739142e-03,-1.352164308090828548e+00,9.542395836252974594e-04,-1.947334751020259658e+00
-1.521854578522122665e+02,3.631196213549321983e+05,-5.087980814218500427e+02,5.462157980484963815e+01,-2.829870830650150992e+01,-1.783155202678302942e+02,1.395613971180355009e+02,2.088159305232201746e+01,-2.060353772490836732e+01,7.976573438808362004e-01,-1.162183569013446223e-02,2.023226116273061237e+01,-2.426062152482121448e+01,3.533899313268431541e+00,-8.109894899742736925e+03,-6.468840063485537257e+02,-1.340490911541164287e+00,-1.246367918021639376e+00,2.168372991973732837e+02,1.293148584609732810e+00,-3.295768719762132832e+02,2.608359312003543806e+01,7.238418959206939007e+00,7.266224907521170451e-01,1.042961085277050337e+00,-2.795204762509498323e+03,2.242104683644473653e+02,3.492825975647072534e-01,1.684510848433046215e-01,-9.246101677278486974e+00,3.129145810961591451e+03,-2.322587591246659144e+00,4.737333399223428387e+03
2.507236973996727625e-01,-5.087980814218506112e+02,1.451123258590694132e+00,-2.230741791140974928e-01,-4.847763727737134515e-02,2.724070145053464342e-01,-8.708392703217163883e-03,-1.311800481283292297e-01,1.244642571657096630e-02,-5.546489814559893428e-03,1.060202674684089709e-04,-1.845855235277458206e-01,2.213032045232647127e-01,-8.837134835293738652e-03,2.092588132996223749e+01,2.129317599132524830e+00,4.643691108915355172e-03,-2.135131701808718960e-03,3.715297291270434621e-01,-5.690342715787746058e-04,2.657702479088477343e-01,-1.702674528019147357e-02,-5.014054447428504396e-03,-9.981450457151508273e-04,6.920276771534947420e-03,-1.720775778242696319e+01,3.465181124914443744e-01,-3.410623654240954377e-04,-2.984839457864240536e-04,7.688154609691336128e-02,-3.366599625193367196e+00,1.389724245841659697e-03,-2.853007515612862921e+00
-3.133435667858141399e-02,5.462157980484886366e+01,-2.230741791140962438e-01,1.508841579098000629e+01,-7.648900539022289446e-02,-2.251043959606572331e-01,-7.472862949700330437e-02,1.883357079380173354e-02,2.155968298269645388e-03,7.033941015777436245e-01,-1.023633821170365622e-04,1.782220395648337619e-01,-2.136710702007357798e-01,1.560533568407908214e-03,-1.749687149538413644e+00,1.196676952728535692e+00,1.784764752144965766e-03,-3.368833040945060173e-03,5.861225480994920467e-01,2.279144325612083178e-03,-9.625353938784931840e-01,6.419860349891593453e-03,7.817927477095681227e-03,2.686107764604604101e-03,-1.249485170692336833e-02,2.443499220746055656e+01,2.550398851877070383e-01,3.017142868820478128e-04,-1.522087800755608114e-05,3.656230331085738583e-02,-4.900066569147679019e+00,3.089087968273911155e-04,-5.391086924960964977e-01
1.155958470361845465e-02,-2.829870830650207125e+01,-4.847763727737052636e-02,-7.648900539022307488e-02,9.957203369528047077e+00,1.623847389738510005e-02,-3.738441068497191933e-02,1.046840099105160763e-03,-1.346340844686582175e-02,-1.227250636012605688e-03,-1.862376822096456450e-06,3.248668874305452817e-03,-3.883263480407806063e-03,-4.478316621287527048e-03,1.177557135529863608e+01,1.806649563932104741e+00,5.074235667169899044e-03,4.385491718300979502e-01,-7.630183978739285067e+01,4.848802182010680329e-04,-2.048572005392815809e-01,5.401851398586243486e-04,1.848370847160487164e-03,6.980438580079685726e-04,1.642107731144900338e-03,-4.521489182959945730e+00,8.650760080017032283e-02,1.185287323646534062e-04,1.566455707813019856e-05,-2.369743722314670079e-02,-2.994209899081842607e+01,-1.512369077320775386e-03,3.092099533163283009e+00
1.413824631895325423e-01,-1.783155202678251499e+02,2.724070145053391623e-01,-2.251043959606578715e-01,1.623847389738434718e-02,5.127175295698053858e+00,3.489301675294014804e-01,-7.367154945021501256e-01,-1.088157256902071851e-02,6.013139485206661118e-03,7.719983440806201739e-05,-1.344030798345811073e-01,1.611535311284605643e-01,-4.394725172682656389e-02,8.908166805766866503e+01,-1.206991207501574292e+00,-2.333014649046610302e-03,7.152025746567147518e-04,-1.244517493361876892e-01,-2.617665253047215743e-02,1.537755015404999170e+01,-1.584429264110140123e-01,-9.522639176398781102e-02,-2.227394188042301944e-03,8.864876585256294128e-02,-1.856846200730685439e+02,-2.975740982386742561e-01,-3.763610525899996860e-03,-1.298918166045102615e-03,1.500098490386534388e-02,9.879479436763331179e+00,-1.288925368857899312e-03,2.543000320233282707e+00
-2.087613925798415676e-02,1.395613971180346198e+02,-8.708392703215845493e-03,-7.472862949700344315e-02,-3.738441068497171116e-02,3.489301675293999816e-01,1.481230714719423691e+00,-4.231115858937893326e-01,-2.088888053567843767e-02,-4.027970228763605681e-04,-1.747296144877916375e-05,3.042137899809228135e-02,-3.647349466481399072e-02,-4.912971513229405507e-03,1.119989004197753601e+01,7.396637500199890747e-01,3.196183396942206545e-03,-1.646538390746773821e-03,2.864818157397610587e-01,-2.407551835836171505e-03,8.207883407484870553e-01,-3.699658049640112967e-02,-1.146054124313851744e-02,6.148341911346804321e-04,5.082183949229332476e-02,-1.238455021753700152e+02,3.591031943452954511e+00,-4.249093408380060465e-03,-1.543834976408246145e-04,-2.071349909736385497e-01,2.605131833454886081e+00,-2.357656226407744623e-03,4.804849317209323623e+00
-2.979902468372985433e-02,2.088159305232271734e+01,-1.311800481283291742e-01,1.883357079380110904e-02,1.046840099104546671e-03,-7.367154945021505696e-01,-4.231115858937806173e-01,7.055920608155922764e+02,9.220351030496683198e-03,-9.375647227131922402e-04,4.166557848059132508e-05,-7.254462913924659972e-02,8.696760943757037010e-02,2.167883991382962491e-03,-5.071674844295576357e+00,-6.267748962742871743e-01,1.480646857234716330e-03,4.609825882958967644e-05,-7.993950632150505220e-03,2.442317733418122513e-02,-6.718752293408992715e-01,7.389347483984091136e-01,5.588186141902953125e-02,-6.395151927924389197e-04,-1.389842001563371815e-02,3.531653014187042317e+01,-1.093046633897041486e+00,-3.637782991126385923e+00,-1.524183633397296012e+00,1.468420756336869772e+03,-1.847540694401378641e+04,1.031891555339326883e-03,-2.115079986591281713e+00
8.471375541090805580e-03,-2.060353772490783086e+01,1.244642571657026200e-02,2.155968298269631510e-03,-1.346340844686582869e-02,-1.088157256902022238e-02,-2.088888053567804562e-02,9.220351030495888695e-03,3.225169528299415589e+01,8.755172012103064729e-04,-1.480384807699190644e-06,2.549823575298613108e-03,-3.122464026773802068e-03,-1.644232337330375304e-04,5.862301233073945461e-01,2.017617913144255926e-01,3.554828308400204357e-04,-5.929812674084665924e-04,1.031973886683769936e-01,3.039598253137391925e-04,-9.470540198159281553e-02,3.492274950546424197e-03,3.843958248450442695e-03,2.366981138813845309e+00,6.069466871076712421e-03,-1.199362739439243164e+01,-2.050036723550450746e-01,1.209980944712880609e-04,4.471191060841233985e-06,1.498305757966532023e-02,5.859664513780987738e-02,3.719223019622671877e+00,-7.470610573523351377e+03
-3.736642355225865196e-04,7.976573438807957883e-01,-5.546489814559822304e-03,7.033941015777434025e-01,-1.227250636012597448e-03,6.013139485206717497e-03,-4.027970228763388299e-04,-9.375647227131829161e-04,8.755172012103085329e-04,3.945077436837315932e-02,-2.220965165138089398e-06,3.866834895955758352e-03,-4.636087909570714427e-03,-9.540929470594236941e-05,2.717399068263103845e-01,6.085778066224028365e-02,1.011970643966051005e-04,-5.405216079905033450e-05,9.403971744661947241e-03,7.632306170464488713e-05,4.322481935415849359e-03,9.564595650033418540e-04,4.881765946698220617e-04,2.553058843931960966e-04,-1.858355753638299835e-04,2.878687084212694924e-01,1.612928986962471750e-02,2.302205224420270194e-05,-5.576561838910964405e-06,6.907193021799003414e-03,-1.343162588487399056e-01,1.055195996806709559e-04,-2.058012171517342170e-01
